RANK,GAME,NOTES
100,Ecco the Dolphin,
99,Marble Madness,
98,Crossbow,
97,Turmoil,
96,Starblade,
95,Crystal Castles,
94,Qix,
93,Super Breakout,
92,Impossible Mission,
91,Karate Champ,
90,Yar's Revenge,
89,Gauntlet,
88,Xevious,
87,River Raid,
86,Moon Patrol,
85,Kaboom,
84,Wizard of Wor,
83,Star Castle,
82,Jungle Hunt,
81,Tomcat Alley,
80,Samurai Shodown,
79,720,
78,Warlords,
77,Escape from the MindMaster,
76,Lunar: The Silver Star,
75,NCAA Basketball,
74,Terminator 2: The Arcade Game,
73,Out of This World,
72,Sinistar,
71,Swordquest: Earthworld,
70,Golden Axe,
69,Phoenix,
68,Haunted House,
67,Mr. Do,
66,Super Mario Bros.,
65,Track & Field,
64,Space Dungeon,
63,Space Dungeon,
62,Super Metroid,
61,Star Wars (Arcade),
60,Alien vs. Predator (Arcade),
59,Night Driver,
58,Indy 500,
57,Galaga,
56,Pong,
55,Bezerk,
54,Suzuka 8 Hours,
53,FIFA International Soccer,
52,Robotron 2084,
51,Zaxxon,
50,Madden NFL '95,
49,Tron,
48,Combat,
47,Dragon's Lair,
46,Star Raiders,
45,Killer Instinct,
44,Wolfenstein 3D,
43,Lethal Enforcers,
42,Prince of Persia,
41,Donkey Kong,
40,Secret of Mana,
39,Duke Nukem,
38,Jungle Strike,
37,Major League Baseball,
36,Virtua Racing,
35,Adventure,
34,Defender,
33,Pitfall!,
32,Pole Position,
31,Advanced Dungeons & Dragons,
30,Tetris,
29,Spy Hunter,
28,Final Fantasy VI,
27,Thunderhawk,
26,Joust,
25,Super Star Wars,
24,Missle Command,
23,The 7th Guest,
22,Road Rash,
21,Mike Tyson's Punch Out!!,
20,Wing Commander,
19,NBA Jam,
18,Comanche: Maximum Overkill,
17,Donkey Kong Country,
16,Virtua Fighter,
15,Centipede,
14,Myst,
13,Aladdin (Genesis),
12,Street Fighter II,
11,Asteroids,
10,Flashback,
9,Pac-Man,
8,NHL 95,
7,Earthworm Jim,
6,Tempest,
5,Mortal Kombat,
4,Sonic the Hedgehog,
3,Doom,
2,The Legend of Zelda,
1,Space Invaders,
