RANK,GAME,NOTES
100,Trinity,
99,NBA Jam,"*Listed as NBA Jam Series -- games are essentially the same, so putting it as NBA Jam"
98,R-Type,
97,Space Invaders,
96,Galaga,
95,Desert Strike,
95,Jungle Strike,
95,Soviet Strike,
95,Urban Strike,
94,Rave Racer,
93,Burning Force,
92,Hard hat Mack,
91,Resident Evil,
90,Xevious,
89,Summer Games,
89,Winter Games,
89,California Games,
88,Knight Lore,
87,Discs of Tron,
86,Jumping Flash!,
85,Discs of Tron,
85,Leisure Suit Larry in the Land of the Lounge Lizards,*Listed as Leisure Suite Larry Series
85,Leisure Suit Larry Goes Looking for Love (in Several Wrong Places),*Listed as Leisure Suite Larry Series
85,Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals,*Listed as Leisure Suite Larry Series
85,Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,*Listed as Leisure Suite Larry Series
85,Leisure Suit Larry 6: Shape Up or Slip Out!,*Listed as Leisure Suite Larry Series
84,Centipede,
83,Joust,
82,Virtua Cop,*Listed as Virtua Cop Series
82,Virtua Cop 2,*Listed as Virtua Cop Series
81,River Raid,
80,Falcon 3.0, *Attributed as Falcon Gold
79,King's Quest I,*Listed as King's Quest Series
79,King's Quest II: Romancing the Throne,*Listed as King's Quest Series
79,King's Quest III: To Heir Is Human,*Listed as King's Quest Series
79,King's Quest IV: The Perils of Rosella,*Listed as King's Quest Series
79,King's Quest V: Absence Makes the Heart Go Yonder!,*Listed as King's Quest Series
79,"King's Quest VI: Heir Today, Gone Tomorrow",*Listed as King's Quest Series
79,King's Quest VII: The Princeless Bride,*Listed as King's Quest Series
78,Track & Field,*Listed as Track & Field Series
78,Hyper Sports,*Listed as Track & Field Series
78,Hyper Olymic 2,*Listed as Track & Field Series
78,Konami '88,*Listed as Track & Field Series
78,Track & Field II,*Listed as Track & Field Series
78,Track & Field (Game Boy),*Listed as Track & Field Series
78,International Track and Field,*Listed as Track & Field Series
77,Shining Force,*Listed as Shining Force Series
77,Shining Force II,*Listed as Shining Force Series
76,NBA Live 96,
75,Balance of Power,
74,Tempest,
73,Jane's AH-64D Longbow,
72,Phantasy Star,*Listed as Phantasy Star Series
72,Phantasy Star II,*Listed as Phantasy Star Series
72,Phantasy Star III: Generations of Doom,*Listed as Phantasy Star Series
72,Phantasy Star IV: The End of the Millennium,*Listed as Phantasy Star Series
71,FIFA International Soccer,
70,Metroid,*Listed as Metroid Series
70,Metroid II: Return of Samus,*Listed as Metroid Series
70,Super Metroid,*Listed as Metroid Series
69,Links: The Challenge of Golf,*Listed as Links Series
69,Links 386 Pro,*Listed as Links Series
69,Links LS 1997,*Listed as Links Series
68,Pong,
67,F/A-18 Hornet 2.0,
66,A Mind Forever Voyaging,
65,Bump N Jump,
64,The Legend of Zelda,*Listed as Zelda (Series)
64,Zelda II: The Adventure of Link,*Listed as Zelda (Series)
64,The Legend of Zelda: A Link to the Past,*Listed as Zelda (Series)
64,The Legend of Zelda: Link's Awakening,*Listed as Zelda (Series)
62,The Bard's Tale,*Listed as Bard's Tale Series
62,The Bard's Tale II: The Destiny Knight,*Listed as Bard's Tale Series
62,The Bard's Tale III: Thief of Fate,*Listed as Bard's Tale Series
61,Ikari Warriors,
60,Wizardry: Proving Grounds of the Mad Overlord,*Listed as Wizardry Series
60,Wizardry II: The Knight of Diamonds,*Listed as Wizardry Series
60,Wizardry III: Legacy of Llylgamyn,*Listed as Wizardry Series
60,Wizardry IV: The Return of Wendra,*Listed as Wizardry Series
60,Wizardry V: Heart of the Maelstrom,*Listed as Wizardry Series
60,Wizardry VI: Bane of the Cosmic Forge,*Listed as Wizardry Series
60,Wizardry VII: Crusaders of the Dark Savant,*Listed as Wizardry Series
59,Super Sprint,
58,Star Wars (Arcade),
57,Sega Rally Championship,
56,Dragon Quest,*Listed as Dragon Quest Series
56,Dragon Quest II,*Listed as Dragon Quest Series
56,Dragon Quest III,*Listed as Dragon Quest Series
56,Dragon Quest IV,*Listed as Dragon Quest Series
55,Ultima I,*Listed as Ultima (Series)
55,Ultima II: The Revenge of the Enchantress,*Listed as Ultima (Series)
55,Ultima III: Exodus,*Listed as Ultima (Series)
55,Ultima IV: Quest of the Avatar,*Listed as Ultima (Series)
55,Ultima V: Warriors of Destiny,*Listed as Ultima (Series)
55,Ultima VI: The False Prophet,*Listed as Ultima (Series)
55,Ultima VII: The Black Gate,*Listed as Ultima (Series)
55,Ultima VII Part Two: Serpent Isle,*Listed as Ultima (Series)
55,Ultima VIII: Pagan,*Listed as Ultima (Series)
55,Ultima Underworld: The Stygian Abyss,*Listed as Ultima (Series)
55,Ultima Underworld II: Labyrinth of Worlds,*Listed as Ultima (Series)
54,MechWarrior 2,
53,The Sentinel,
52,Spaceward Ho!,
51,Panzer General,
50,Donkey Kong,
49,Command & Conquer,
48,World Series Baseball,
47,Sega Worldwide Soccer 97,
46,Grand Prix 2,
45,Out Run,
44,Specture VR,
43,Rolling Thunder,
42,EF 2000,
41,Snake,
40,NHL Powerplay '96,
39,Asteroids,
38,Zork,
37,Super Mario Kart,
36,Rescue Raiders,
35,Duke Nukem 3D,
34,Nobunaga's Ambition,*Listed as Nobunaga's Ambition Series
34,Nobunaga's Ambition II,*Listed as Nobunaga's Ambition Series
34,Nobunaga's Ambition: Lord of Darkness,*Listed as Nobunaga's Ambition Series
33,SimCity 2000,
32,Wipeout 2097,
31,Herzog Zwei,
30,John Madden Football,*Listed as Madden NFL Series
30,John Madden Football (1990),*Listed as Madden NFL Series
30,John Madden Football II,*Listed as Madden NFL Series
30,John Madden Football '92,*Listed as Madden NFL Series
30,John Madden Football '93,*Listed as Madden NFL Series
30,Madden NFL '94,*Listed as Madden NFL Series
30,Madden NFL '95,*Listed as Madden NFL Series
30,Madden NFL '96,*Listed as Madden NFL Series
30,Madden NFL 97,*Listed as Madden NFL Series
29,Syndicate,
28,NFL GameDay,
27,Sam & Max Hit the Road,
26,X-COM: UFO Defense,
25,Nights Into Dreams,
24,The Lurking Horror,
23,Star Wars: TIE Fighter,
23,Star Wars: X-Wing,
22,Tekken 2,
21,Daytona USA,
20,Sonic the Hedgehog,*Listed as Sonic Series
20,Sonic the Hedgehog 2,*Listed as Sonic Series
20,Sonic the Hedgehog 3,*Listed as Sonic Series
20,Sonic & Knuckles,*Listed as Sonic Series
20,Sonic CD,*Listed as Sonic Series
19,Doom,*Listed as Doom Series
19,Doom 2,*Listed as Doom Series
18,Micro Machines,
17,Final Fantasy I,*Listed as Final Fantasy (Series)
17,Final Fantasy IV,*Listed as Final Fantasy (Series)
17,Final Fantasy VI,*Listed as Final Fantasy (Series)
16,Populous,*Listed as Populous Series
16,Populous II,*Listed as Populous Series
15,Marble Madness,
14,Elite,
13,Defender,
12,Ms. Pac-Man,
11,Virtua Racing,
10,Warcraft II,
9,Quake,
8,Lemmings,
7,Street Fighter II,
6,Virtua Fighter 2,
5,Super Mario Bros.,"*Super Mario series ranked, including Gameboy platforms"
5,Super Mario Bros. 2,"*Super Mario series ranked, including Gameboy platforms"
5,Super Mario Bros. 3,"*Super Mario series ranked, including Gameboy platforms"
5,Super Mario World,"*Super Mario series ranked, including Gameboy platforms"
5,Super Mario Land 2: Six Golden Coins,"*Super Mario series ranked, including Gameboy platforms"
5,Super Mario Land,"*Super Mario series ranked, including Gameboy platforms"
4,Civilization II,*Civilization series ranked
4,Sid Meier's Civilization,
3,Super Bomberman 2,
2,Tetris,
1,Super Mario 64,
