RANK,GAME,NOTES
100,Qix,
99,Samurai Shodown,
98,Virtua Cop 2,
97,MLB 98,
96,Wipeout XL,
95,DecAthlete,
94,Ice Hockey,
93,Blast Corps,
92,Flashback,
91,Axelay,
90,Panzer Dragoon II Zwei,
89,Ms. Pac-Man,
88,Ninja Gaiden II,
87,Baseball Stars,
86,Galactic Attack,
85,Bonk's Adventure,
84,Kirby's Avalanche,
83,Dr. Robotnik's Mean Bean Machine,
82,The Revenge of Shinobi,
81,Sega Rally Championship,
80,Legendary Axe,
79,Virtua Fighter 2,
78,Mega Man X4,
77,Blazing Lazers,
76,Life Force,
75,ActRaiser,
74,Worldwide Soccer '97,
73,Mega Man 2,
72,Zelda II: The Adventure of Link,
71,Sonic the Hedgehog 2,
70,Nights Into Dreams,
69,Snatcher,
68,Wave Race 64,
67,Donkey Kong (Game Boy),
66,Guardian Heroes,
65,Tecmo Super Bowl,
64,Twisted Metal 2,
63,Return Fire,
62,Phantasy Star,
61,NHL Hockey '94,
60,Shining Force II,
59,Thunder Force III,
58,Dragon Quest IV,
57,Castlevania III: Dracula's Curse,
56,Super Punch Out,
55,Dragon Force,
54,Tomb Raider,
53,Gates of Thunder,
52,RC Pro Am,
51,Tekken 2,
50,Devil's Crush,
49,Mario Kart 64,
48,Military Madness,
47,Ghouls'n Ghosts,
46,Space MegaForce,
45,Contra,
44,Metroid,
43,Herzog Zwei,
42,Strider,
41,Arkanoid,
40,Lunar: Eternal Blue,
39,Star Fox 64,
38,Ys Books I and II,
37,Super Mario Bros.,
36,Street Fighter Alpha 2,
35,Metal Gear,
34,Kid Icarus,
33,NBA Live 97,
32,Bionic Commando,
31,NFL Gameday 98,
30,Phantasy Star II,
29,Chrono Trigger,
28,The Legend of Zelda: Link's Awakening,
27,Gunstar Heroes,
26,Super Mario RPG: Legend of the Seven Stars,
25,GoldenEye 007,
24,International Superstar Soccer 64,
23,R-Type III,
22,Super Ghouls'n Ghosts,
21,Final Fantasy VII,
20,Super Castlevania IV,
19,Madden NFL 98,
18,F-Zero,
17,Sonic CD,
16,Tetris Attack,
15,Super Mario Kart,
14,Super Mario Bros. 2,
13,The Legend of Zelda,
12,Castlevania: Symphony of the Night,
11,Super Mario World,
10,Saturn Bomberman,
9,Final Fantasy VI,
8,Contra III: Alien Wars,
7,Super Mario World 2: Yoshi's Island,
6,Super Metroid,
5,Street Fighter II,
4,Super Mario 64,
3,The Legend of Zelda: A Link to the Past,
2,Super Mario Bros. 3,
1,Tetris,
