RANK,GAME,NOTES
50,International Superstar Soccer '98,
49,Total Annihilation,
48,Zork,*Listed as Zork (Series)
48,Return to Zork,*Listed as Zork (Series)
48,Zork Nemesis: The Forbidden Lands,*Listed as Zork (Series)
48,Zork: Grand Inquisitor,*Listed as Zork (Series)
47,Grand Prix Legends,
46,Star Control 2,
45,Sam & Max Hit the Road,
44,Populous,
43,NFL Gameday,*Listed as NFL GameDay (Series)
43,NFL Gameday '97,*Listed as NFL GameDay (Series)
43,NFL Gameday 98,*Listed as NFL GameDay (Series)
43,NFL Gameday 99,*Listed as NFL GameDay (Series)
42,Sonic the Hedgehog,"*Listed as Sonic (1, 2, and 3)"
42,Sonic the Hedgehog 2,"*Listed as Sonic (1, 2, and 3)"
42,Sonic the Hedgehog 3,"*Listed as Sonic (1, 2, and 3)"
41,Ms. Pac-Man,
40,NHL 99,
39,Herzog Zwei,
38,Battlezone,
37,X-COM: UFO Defense,
36,PaRappa the Rapper,
35,Lurking Horror,
34,Pong,
33,NFL Blitz '99,
32,WarCraft,*Listed as WarCraft/StarCraft (includes dates for WarCraft  I& II)
32,Warcraft II,*Listed as WarCraft/StarCraft (includes dates for WarCraft  I& II)
32,StarCraft,*Listed as WarCraft/StarCraft (includes dates for WarCraft  I& II)
31,Heroes of Might and Magic,*Listed as Heroes of Might and Magic (Series)
31,Heroes of Might and Magic II,*Listed as Heroes of Might and Magic (Series)
30,Super Bomberman 2,
29,Asteroids,
28,Star Wars Jedi Knight: Dark Forces II,
27,Metal Gear Solid,
26,Grim Fandango,
25,Doom,*Listed as Doom (Series)
25,Doom 2,*Listed as Doom (Series)
25,Final Doom,*Listed as Doom (Series)
25,Doom 64,*Listed as Doom (Series)
24,Star Wars (Arcade),
23,Defender,
22,Tomb Raider,
21,Robotron: 2084,
20,Wave Race,
19,Sega Rally Championship,
18,Ultima I,*Listed as Ultima (Series)
18,Ultima II: The Revenge of the Enchantress,*Listed as Ultima (Series)
18,Ultima III: Exodus,*Listed as Ultima (Series)
18,Ultima IV: Quest of the Avatar,*Listed as Ultima (Series)
18,Ultima V: Warriors of Destiny,*Listed as Ultima (Series)
18,Ultima VI: The False Prophet,*Listed as Ultima (Series)
18,Ultima VII: The Black Gate,*Listed as Ultima (Series)
18,Ultima VII Part Two: Serpent Isle,*Listed as Ultima (Series)
18,Ultima VIII: Pagan,*Listed as Ultima (Series)
18,Ultima Underworld: The Stygian Abyss,*Listed as Ultima (Series)
18,Ultima Underworld II: Labyrinth of Worlds,*Listed as Ultima (Series)
18,Ultima Online,*Listed as Ultima (Series)
17,Galaga,
16,Final Fantasy I,*Listed as Final Fantasy (Series)
16,Final Fantasy IV,*Listed as Final Fantasy (Series)
16,Final Fantasy VI,*Listed as Final Fantasy (Series)
16,Final Fantasy VII,*Listed as Final Fantasy (Series)
16,Final Fantasy VIII,*Listed as Final Fantasy (Series)
15,Gran Turismo,
14,Half-Life,
13,Resident Evil,*Listed as Resident Evil (Series)
13,Resident Evil 2,*Listed as Resident Evil (Series)
12,Tekken,*Listed as Tekken (Series)
12,Tekken 2,*Listed as Tekken (Series)
12,Tekken 3,*Listed as Tekken (Series)
11,Ridge Racer,*Listed as Ridge Racer (Series)
11,Ridge Racer 2,*Listed as Ridge Racer (Series)
11,Rage Racer,*Listed as Ridge Racer (Series)
11,R4: Ridge Racer Type 4,*Listed as Ridge Racer (Series)
10,GoldenEye 007,
9,Street Fighter II,*Listed as Street Fighter II (Series)
8,Virtua Fighter,*Listed as Virtua Fighter (Series)
8,Virtua Fighter 2,
8,Virtua Fighter 3,
7,Super Mario Kart,
6,Metroid,*Listed as Metroid (Series)
6,Metroid II: Return of Samus,*Listed as Metroid (Series)
6,Super Metroid,*Listed as Metroid (Series)
5,Quake II,
4,Sid Meier's Civilization,*Listed as Civilization I & II
4,Civilization II,*Listed as Civilization I & II
3,Super Mario Bros.,*Listed as Mario (Series)
3,Super Mario Bros. 2,*Listed as Mario (Series)
3,Super Mario Bros. 3,*Listed as Mario (Series)
3,Super Mario World,*Listed as Mario (Series)
3,Super Mario 64,*Listed as Mario (Series)
2,Tetris,
1,The Legend of Zelda,*Listed as Zelda (Series)
1,Zelda II: The Adventure of Link,*Listed as Zelda (Series)
1,The Legend of Zelda: A Link to the Past,*Listed as Zelda (Series)
1,The Legend of Zelda: Link's Awakening,*Listed as Zelda (Series)
1,The Legend of Zelda: Ocarina of Time,*Listed as Zelda (Series)
