GAME,NOTES
Age of Empires,*Games listed 1-50 but do not seem to be ranked
Oddworld: Abe's Exodus,*Games listed 1-50 but do not seem to be ranked
Wave Race 64,*Games listed 1-50 but do not seem to be ranked
Pocket Fighter,*Games listed 1-50 but do not seem to be ranked
Panzer Dragoon Zwei,*Games listed 1-50 but do not seem to be ranked
The Secret of Monkey Island,*Games listed 1-50 but do not seem to be ranked
Nights: Into Dreams,*Games listed 1-50 but do not seem to be ranked
FIFA 99,*Games listed 1-50 but do not seem to be ranked
Dead or Alive,*Games listed 1-50 but do not seem to be ranked
Point Blank,*Games listed 1-50 but do not seem to be ranked
Grand Theft Auto,*Games listed 1-50 but do not seem to be ranked
Croc: Legend of the Gobbos,*Games listed 1-50 but do not seem to be ranked
1080 Snowboarding,*Games listed 1-50 but do not seem to be ranked
Marvel Super Heroes,*Games listed 1-50 but do not seem to be ranked
Unreal,*Games listed 1-50 but do not seem to be ranked
Theme Park,*Games listed 1-50 but do not seem to be ranked
Crash Bandicoot: Warped,*Games listed 1-50 but do not seem to be ranked
Colin McRae Rally,*Games listed 1-50 but do not seem to be ranked
Mortal Kombat,*Games listed 1-50 but do not seem to be ranked
Doom,*Games listed 1-50 but do not seem to be ranked
Commandos: Behind Enemy Lines,*Games listed 1-50 but do not seem to be ranked
Sonic the Hedgehog,*Games listed 1-50 but do not seem to be ranked
Kick Off 2,*Games listed 1-50 but do not seem to be ranked
Streets of Rage,*Games listed 1-50 but do not seem to be ranked
Turok 2,*Games listed 1-50 but do not seem to be ranked
Battlezone,*Games listed 1-50 but do not seem to be ranked
Worms,*Games listed 1-50 but do not seem to be ranked
Sensible Soccer,*Games listed 1-50 but do not seem to be ranked
Sould Edge,*Listed as Soul Blade and listed 1-50 but do not seem to be ranked,
Virtua Cop,*Games listed 1-50 but do not seem to be ranked
Command & Conquer,*Games listed 1-50 but do not seem to be ranked
Metal Gear Solid,*Games listed 1-50 but do not seem to be ranked
International Superstar Soccer '98,*Games listed 1-50 but do not seem to be ranked
Final Fight,*Games listed 1-50 but do not seem to be ranked
Quake,*Games listed 1-50 but do not seem to be ranked
Civilization II,*Games listed 1-50 but do not seem to be ranked
Super Mario 64,*Games listed 1-50 but do not seem to be ranked
Wipeout 2097,*Games listed 1-50 but do not seem to be ranked
Virtua Fighter,*Games listed 1-50 but do not seem to be ranked
GoldenEye 007,*Games listed 1-50 but do not seem to be ranked
Final Fantasy VII,*Games listed 1-50 but do not seem to be ranked
Tomb Raider,*Games listed 1-50 but do not seem to be ranked
Gran Turismo,*Games listed 1-50 but do not seem to be ranked
Tekken 3,*Games listed 1-50 but do not seem to be ranked
Time Crisis,*Games listed 1-50 but do not seem to be ranked
Total Annihilation,*Games listed 1-50 but do not seem to be ranked
The Legend of Zelda,*Games listed 1-50 but do not seem to be ranked
Super Mario Kart,*Games listed 1-50 but do not seem to be ranked
Street Fighter II,*Games listed 1-50 but do not seem to be ranked
Half-Life,*Games listed 1-50 but do not seem to be ranked
