RANK,GAME,NOTES
50,Total Annihilation,
49,Empire: Wargame of the Century,
48,Ultima Online,
47,Quake II,
46,Super Metroid,
45,Planescape Torment,
44,Marathon,
43,The Legend of Zelda: Ocarina of Time,
42,Ultima V: Warriors of Destiny,
41,Ultima III: Exodus,
40,Thief: The Dark Project,
39,Zork,
38,GoldenEye 007,
37,Baldur's Gate II: Shadows of Amn,
36,Baldur's Gate,
35,X-COM: UFO Defense,
34,Wing Commander,
33,SimCity,
32,Metal Gear Solid,
31,Command & Conquer,
30,Street Fighter II,
29,Counter-Strike,
28,The Legend of Zelda: A Link to the Past,
27,Asheron's Call,
26,Star Control 2,
25,M.U.L.E.,
24,System Shock,
23,Final Fantasy VI,
22,Civilization II,
21,Wizardry: Proving Grounds of the Mad Overlord,
20,Castlevania: Symphony of the Night,
19,Tetris,
18,Deus Ex,
17,The Bard's Tale,
16,Age of Empires II: The Age of Kings,
15,EverQuest,
14,Age of Empires,
13,Duke Nukem 3D,
12,System Shock 2,
11,Super Mario 64,
10,The Legend of Zelda,
9,StarCraft,
8,Ultima Underworld: The Stygian Abyss,
7,Ultima IV: Quest of the Avatar,
6,Diablo,
5,Quake,
4,Sid Meier's Civilization,
3,Warcraft II,
2,Half-Life,
1,Doom,
