GAME,NOTES
Adventure,
Battlezone,
Donkey Kong,
Doom,
Dragon Quest,
Dragon's Lair,
ET: The Extra-Terrestrial,*Not included in final results -- clearly more about the game's impact on the industry than on quality
Faceball 2000,
Final Fantasy VII,
Game & Watch,
Gauntlet,
Gran Turismo,
Grand Theft Auto III,
Half-Life,
Halo: Combat Evolved,
Herzog Zwei,
Jet Set Radio,
King's Quest I,
The Legend of Zelda: Ocarina of Time,
John Madden Football,
Metal Gear Solid,
Mortal Kombat,
M.U.L.E.,
Myst,
One-On-One,
Pac-Man,
PaRappa the Rapper,
Pitfall!,
Pokemon Red and Blue,
Pong,
Populous,
Prince of Persia,
Rogue,
The Sims,
Sonic the Hedgehog,
Space Invaders,
Spacewar!,
Star Wars (Arcade),
Street Fighter II,
Super Mario 64,
Super Mario Bros.,
Super Mario Kart,
Tetris,
Tomb Raider,
Tony Hawk's Pro Skater,
Ultima IV: Quest of the Avatar,
Ultima Online,
Virtua Fighter,
Zork,
