RANK,GAME,NOTES
100,Hard Drivin',
99,Pong,
98,Space Invaders,
97,Missle Command,
96,Bombjack,
95,Frogger,
94,Asteroids,
93,Galaxian,
92,Pole Position,
91,Double Dragon,
90,Speedball 2: Brutal Deluxe,
89,Defender,
88,Colossal Cave Adventure,
87,Gradius III,
86,Donkey Kong,
85,The Hobbit,
84,Commando,
83,Smash TV,
82,Time Crisis,
81,Tiger Woods PGA Tour 2003,
80,Mike Tyson's Punch Out!!,
79,Bomberman,
78,Super Smash Bros.,
77,Rainbow Islands,
76,Micro Machines,
75,Burnout 2,
74,Super Metroid,
73,FIFA Soccer 96,"*Listed as FIFA Soccer, but release date of 1995 matches European release of FIFA 96"
72,Virtua Racing,
71,Bubble Bobble,
70,Tomb Raider,
69,Sensible World of Soccer,
68,Out Run,
67,R-Type,
66,Wipeout,
65,Tempest 2000,
64,Shinobi,
63,Virtua Cop,
62,Star Wars: Knights of the Old Republic,
61,Shenmue,
60,Super Tennis,
59,Tekken Tag Tournament,
58,Diablo,
57,SimCity,
56,Quake II,
55,Mortal Kombat II,
54,Populous,
53,NBA Jam,
52,Daytona USA,
51,Lemmings,
50,After Burner,
49,Dance Dance Revolution,
48,1080 Snowboarding,
47,SoulCalibur,
46,Medal of Honor,
45,Pilotwings 64,
44,Pilotwings,
43,International Track and Field,
42,Madden NFL 2005,
41,Halo: Combat Evolved,
40,Gran Turismo 4,
39,Half-Life,
38,Wave Race 64,
37,Resident Evil,
36,Phantasy Star Online,
35,Beatmania,
34,Tony Hawk's Pro Skater,
33,World of Warcraft,
32,Final Fantasy VII,
31,EverQuest,
30,Super Castlevania IV,
29,Puzzle Bobble,
28,Deus Ex,
27,Ultima Online,
26,Sonic the Hedgehog 2,
25,Pac-Man,
24,Samurai Shodown II,
23,Ridge Racer,
22,Football Manager,
21,Samba de Amigo,
20,Metal Gear Solid,
19,Grand Theft Auto III,
18,The Legend of Zelda: The Wind Waker,
17,Virtua Fighter 4,*Listed as Virtua Fighter 4: Evolution
16,Doom,
15,The Sims,
14,"WarioWare, Inc.: Mega Microgames!",
13,Super Mario Bros.,*Listed as Super Mario All-Stars
13,Super Mario Bros. 2,*Listed as Super Mario All-Stars
13,Super Mario Bros. 3,*Listed as Super Mario All-Stars
13,Super Mario Bros.: The Lost Levels,*Listed as Super Mario All-Stars
12,Super Mario World,
11,The Legend of Zelda: A Link to the Past,
10,Elite,
9,Street Fighter II,
8,GoldenEye 007,
7,Super Mario Kart,
6,Monkey Island 2: LeChuck's Revenge,
5,The Legend of Zelda: Ocarina of Time,
4,Pro Evolution Soccer 4,
3,Pokemon Red and Blue,
2,Super Mario 64,
1,Tetris,
