RANK,GAME,
100,R4: Ridge Racer Type 4,
99,Far Cry,
98,Star Fox 64,
97,Resident Evil (2002),
96,The Legend of Zelda: Twilight Princess,
95,Football Manager 2009,
94,Space Giraffe,
93,The Sims 2,
92,Animal Crossing: City Folk,
91,Splinter Cell: Chaos Theory,
90,Braid,
89,Final Fantasy VI,
88,Tetris Attack,
87,Doom 2,
86,SingStar,
85,The Secret of Monkey Island,
84,God of War,
83,Peggle,
82,Sam & Max Hit the Road,
81,Silent Hill 2,
80,Quake III Arena,
79,Pac-Man: Championship Edition,
78,XCOM: Enemy Unknown,
77,The Legend of Zelda: Majora's Mask,
76,Planescape Torment,
75,F-Zero GX,
74,Puzzle Quest: Challenge of the Warlords,
73,Frequency,
72,Skate 2,
71,OutRun 2006: Coast 2 Coast,
70,Daytona USA,
69,Super Smash Bros. Brawl,
68,Shadow of the Colossus,
67,Chrono Trigger,
66,Prince of Persia: Sands of Time,
65,Thief II: The Metal Age,
64,Puyo Puyo Fever,
63,Lemmings,
62,Ninja Gaiden II (2008),
61,Robotron: 2084,
60,Puzzle Bobble,
59,Viewtiful Joe,
58,Gears of War 2,
57,Deus Ex,
56,Counter-Strike: Source,
55,Pokemon Yellow,
54,Ico,
53,Uncharted: Drake's Fortune,
52,Fable II,
51,R-Type Final,
50,Metal Gear Solid: The Twin Snakes,
49,Rez,*Listed as Rez HD
48,Final Fantasy VII,
47,Eve Online,
46,Disgaea: Hour of Darkness,*Listed as Disgaea: Afternoon of Darkness
45,The Elder Scrolls IV: Oblivion,
44,Jet Set Radio Future,
43,Portal,
42,FIFA 09,
41,Race Driver: GRID,
40,"Warioware, Inc.: Mega Microgames!",
39,Super Monkey Ball,
38,StarCraft,
37,Fallout 3,
36,Burnout Paradise,
35,Castlevania: Symphony of the Night,
34,BioShock,
33,Geometry Wars Retro Evolved 2,
32,Team Fortress 2,
31,Bomberman,
30,Company of Heroes,
29,Advance Wars,
28,Grand Theft Auto: San Andreas,
27,Mario Kart DS,
26,Medieval II: Total War,
25,Final Fantasy XII,
24,Virtua Fighter 5,
23,The Legend of Zelda: The Wind Waker,
22,Grand Theft Auto: Vice City,
21,Metal Gear Solid 3: Snake Eater,
20,Super Mario Bros. 3,
19,Sid Meier's Civilization IV,
18,Call of Duty 4: Modern Warfare,
17,World of Warcraft,
16,Super Metroid,
15,Rock Band 2,
14,Street Fighter IV,
13,Left 4 Dead,
12,Grand Theft Auto IV,
11,Little Big Planet,
10,Super Mario World 2: Yoshi's Island,
9,Halo 3,
8,Super Mario Galaxy,
7,Tetris,
6,Super Mario World,
5,The Legend of Zelda: A Link to the Past,
4,Resident Evil 4,
3,Half-Life 2,
2,Super Mario 64,
1,The Legend of Zelda: Ocarina of Time,
