RANK,GAME
100,Speedball 2: Brutal Deluxe
99,Super Castlevania IV
98,Worms 2
97,Double Dragon
96,Okami
95,Alone in the Dark
94,Bomberman
93,Dungeon Master
92,Wipeout 2097
91,Out of This World
90,Daytona USA
89,Counter-Strike
88,Thief II: The Metal Age
87,Lemmings
86,International Karate +
85,Dungeon Keeper 2
84,Super Contra
83,Homeworld
82,Black and White
81,SimCity 2000
80,Super Smash Bros. Brawl
79,Aliens Versus Predator 2
78,Company of Heroes
77,Day of the Tentacle
76,Donkey Kong Country
75,Rome: Total War
74,Freespace 2
73,Final Fantasy VIII
72,Diablo II
71,Quake
70,Guitar Hero
69,The Secret of Monkey Island
68,Super Metroid
67,Chrono Trigger
66,Left 4 Dead
65,FIFA International Soccer
64,Pro Evolution Soccer
63,The Legend of Zelda: Twilight Princess
62,Tekken 2
61,Gauntlet
60,Grim Fandango
59,Age of Empires II: The Age of Kings
58,Championship Manager
57,Devil May Cry
56,Little Big Planet
55,Call of Duty
54,Silent Hill
53,Star Wars: TIE Fighter
52,StarCraft
51,Metal Gear Solid 2: Sons of Liberty
50,Virtua Fighter 4
49,The Elder Scrolls IV: Oblivion
48,Portal
47,Metroid Prime
46,Ico
45,Gran Turismo
44,Silent Hill 2
43,Sensible Soccer
42,Shenmue
41,Eternal Darkness: Sanity's Requiem
40,Deus Ex
39,Tomb Raider
38,The Sims
37,God of War
36,Sonic the Hedgehog
35,Shadow of the Colossus
34,Resident Evil 2
33,Unreal Tournament
32,Metal Gear Solid 4: Guns of the Patriots
31,Star Wars: Knights of the Old Republic
30,Resident Evil 4
29,Half-Life
28,Tetris
27,The Legend of Zelda: A Link to the Past
26,BioShock
25,Resident Evil
24,Super Mario Galaxy
23,Halo 3
22,Grand Theft Auto III
21,System Shock 2
20,Metal Gear Solid
19,Baldur's Gate II: Shadows of Amn
18,Gears of War
17,Super Mario Kart
16,Grand Theft Auto IV
15,Half-Life 2
14,Halo: Combat Evolved
13,Elite
12,Command & Conquer
11,Planescape Torment
10,GoldenEye 007
9,Super Mario 64
8,The Legend of Zelda: Ocarina of Time
7,Doom
6,Street Fighter II
5,Sid Meier's Civilization
4,Call of Duty 4: Modern Warfare
3,World of Warcraft
2,Final Fantasy VII
1,Super Mario World
