RANK,GAME
100,Resident Evil
99,Banjo-Kazooie
98,Call of Duty 2
97,Okami
96,Grim Fandango
95,Quake III Arena
94,Jade Empire
93,Day of the Tentacle
92,Neverwinter Nights
91,Gothic 2
90,Wing Commander: Privateer
89,BioShock 2
88,Max Payne 2: The Fall of Max Payne
87,Gran Turismo 4
86,Shenmue II
85,Ultima IV: Quest of the Avatar
84,Wing Commander IV: The Price of Freedom
83,Gothic
82,Jak and Daxter: The Precursor Legacy
81,Shin Megami Tensei III: Nocturne
80,RuneScape
79,Super Mario Galaxy
78,Warcraft III: Reign of Chaos
77,Age of Empires
76,Mafia
75,Metal Gear Solid 2: Sons of Liberty
74,Resident Evil: Code Veronica
73,Mother 3
72,Monkey Island 2: LeChuck's Revenge
71,God of War II
70,Final Fantasy VIII
69,The Elder Scrolls IV: Oblivion
68,Donkey Kong
67,Super Smash Bros. Melee
66,Fallout 2
65,StarCraft II: Wings of Liberty
64,The Secret of Monkey Island
63,God of War
62,Metal Gear Solid 4: Guns of the Patriots
61,Metroid Prime
60,Doom
59,Silent Hill 3
58,Castlevania: Symphony of the Night
57,EarthBound
56,Gears of War
55,Silent Hill
54,Counter-Strike
53,Galaga
52,Contra
51,Pokemon Red and Blue
50,Resident Evil 4
49,Max Payne
48,Final Fantasy V
47,King's Quest I
46,Metal Gear Solid 3: Snake Eater
45,Final Fantasy Tactics
44,Shadow of the Colossus
43,Mass Effect 2
42,The Sims
41,Fable II
40,The Legend of Zelda: Majora's Mask
39,SimCity
38,Grand Theft Auto: San Andreas
37,Super Smash Bros.
36,Rock Band
35,Grand Theft Auto IV
34,Halo: Combat Evolved
33,Assassin's Creed II
32,Sonic the Hedgehog 2
31,Age of Empires II: The Age of Kings
30,Mass Effect
29,Star Wars: Knights of the Old Republic
28,Portal
27,Kingdom Hearts
26,Deus Ex
25,Sid Meier's Civilization
24,Super Metroid
23,StarCraft
22,Uncharted 2: Among Thieves
21,Dragon Age: Origins
20,Chrono Trigger
19,The Legend of Zelda
18,Fallout 3
17,The Legend of Zelda: A Link to the Past
16,Half-Life 2
15,Super Mario 64
14,Half-Life
13,Final Fantasy VI
12,Silent Hill 2
11,GoldenEye 007
10,Super Mario Bros. 3
9,Mario Kart 64
8,Super Mario World
7,BioShock
6,Alan Wake
5,World of Warcraft
4,Metal Gear Solid
3,Super Mario Bros.
2,Final Fantasy VII
1,The Legend of Zelda: Ocarina of Time
