RANK,GAME,
100,Call of Duty 4: Modern Warfare,
99,Donkey Kong Country,
98,Devil May Cry,
97,Mortal Kombat II,
96,Uncharted 2: Among Thieves,
95,Killzone 2,
94,Colin McRae Rally 04,
93,Braid,
92,PaRappa the Rapper,
91,Crysis,
90,Pokemon Red and Blue,
89,Batman: Arkham Asylum,
88,Company of Heroes,
87,Doom,
86,DecAthlete,
85,Final Fight,
84,Command & Conquer: Red Alert,
83,Professor Layton and the Curious Village,
82,Prey,
81,Street Fighter II,
80,The Chronicles of Riddick: Escape From Butcher Bay,
79,SSX Tricky,
78,International Superstar Soccer Deluxe,
77,Contra III: Alien Wars,
76,Shenmue,
75,Phantasy Star IV,
74,Virtua Tennis,
73,Ridge Racer,
72,Age of Empires II: The Age of Kings,
71,The King of Fighters 98,
70,Syndicate,
69,Lemmings,
68,Rome: Total War,
67,Unreal Tournament,
66,Portal 2,
65,The Elder Scrolls IV: Oblivion,
64,Silent Hill 2,
63,Duke Nukem 3D,
62,Castlevania: Symphony of the Night,
61,Chrono Trigger,
60,X-COM: UFO Defense,
59,Grand Prix 2,
58,Monkey Island 2: LeChuck's Revenge,
57,Diablo II,
56,Star Wars: Knights of the Old Republic,
55,Metroid Prime,
54,System Shock 2,
53,Thief II: The Metal Age,
52,Heroes of Might and Magic III,
51,Gears of War,
50,Grand Theft Auto IV,
49,Wonder Boy III: The Dragon's Trap,
48,Ico,
47,Rock Band 2,
46,Battlefield 2,
45,God of War,
44,Sid Meier's Civilization III,
43,NHL 11,
42,BioShock,
41,Resident Evil 2,
40,Tetris,
39,Star Wars: TIE Fighter,
38,SoulCalibur,
37,Mass Effect 2,
36,Mike Tyson's Punch Out!!,
35,Star Fox 64,
34,Baldur's Gate II: Shadows of Amn,
33,SimCity 2000,
32,Tekken 5,
31,Max Payne 2: The Fall of Max Payne,
30,Tony Hawk's Pro Skater 3,
29,Mega Man 2,
28,Sega Rally Championship,
27,Fallout 2,
26,Super Mario Kart,
25,Street Fighter IV,
24,GoldenEye 007,
23,Advance Wars,
22,The Legend of Zelda: Ocarina of Time,
21,World of Warcraft,
20,Deus Ex,
19,Quake III Arena,
18,Sonic the Hedgehog 2,
17,Tomb Raider,
16,Grim Fandango,
15,Resident Evil 4,
14,StarCraft,
13,Super Mario World,
12,Gran Turismo,
11,Super Mario 64,
10,Nights Into Dreams,
9,Metal Gear Solid 3: Snake Eater,
8,Super Metroid,
7,Final Fantasy VII,
6,Grand Theft Auto III,
5,Halo: Combat Evolved,
4,Half-Life 2,
3,Super Mario Galaxy,
2,Half-Life,
1,The Legend of Zelda: A Link to the Past,
