RANK,GAME
100,Black Crypt
99,Battlezone
98,Secret Command
97,The Beast Within: A Gabriel Knight Mystery
96,Dune II: The Building of a Dynasty
95,Trackmania
94,Sam & Max Hit the Road
93,Dragon Age: Origins
92,StarCraft II: Wings of Liberty
91,Sonic the Hedgehog
90,Vagrant Story
89,Super Mario Bros.
88,Ghosts'n Goblins
87,Shining Force III
86,Double Dragon II: The Revenge
85,Demon's Souls
84,Red Dead Redemption
83,Metal Gear Solid 3: Snake Eater
82,Final Fantasy IV
81,Valkyrie Profile
80,Little Big Adventure
79,Valkyria Chronicles
78,GoldenEye 007
77,Final Fantasy Tactics
76,Tom Clancy's Splinter Cell
75,Star Wars Jedi Knight: Dark Forces II
74,Pokemon HeartGold and SoulSilver
73,Grim Fandango
72,Secret of Mana
71,Gran Turismo 4
70,Sonic & Knuckles
69,Dragon Quest VIII: Journey of the Cursed King
68,Okami
67,Syndicate
66,Portal
65,Tremulous
64,Chrono Trigger
63,Riven: The Sequel to Myst
62,Panzer Dragoon Saga
61,Super Mario Bros. 3
60,Metal Gear Solid 2: Sons of Liberty
59,Championship Manager 3
58,Tomb Raider
57,Castlevania: Symphony of the Night
56,God of War II
55,Monkey Island 2: LeChuck's Revenge
54,Myst
53,Final Fantasy VI
52,Sanitarium
51,Pro Evolution Soccer 6
50,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned"
49,Unreal Tournament
48,Shenmue
47,The Elder Scrolls IV: Oblivion
46,Shenmue II
45,The Elder Scrolls III: Morrowind
44,Dead Space 2
43,Arx Fatalis
42,Minecraft
41,Sid Meier's Civilization
40,Diablo
39,FIFA 98
38,Baldur's Gate
37,Super Mario World
36,Half-Life
35,The Legend of Zelda
34,Resident Evil 4
33,Dreamfall: The Longest Journey
32,Beyond Good & Evil
31,Cadaver
30,Monster Hunter Freedom Unite
29,Ico
28,Silent Hill 2
27,Super Mario Kart
26,StarCraft
25,Tetris
24,Shadow of the Colossus
23,The Secret of Monkey Island
22,Doom
21,The Legend of Zelda: A Link to the Past
20,The Legend of Zelda: Link's Awakening
19,Day of the Tentacle
18,The Legend of Zelda: Ocarina of Time
17,Grand Theft Auto IV
16,Sid Meier's Pirates!
15,Thief II: The Metal Age
14,Super Metroid
13,The Witcher
12,Fallout
11,The Legend of Zelda: The Wind Waker
10,Duke Nukem 3D
9,World of Warcraft
8,Final Fantasy VII
7,Hitman 2: Silent Assassin
6,Mass Effect
5,Batman: Arkham Asylum
4,Deus Ex
3,Donkey Kong Country
2,Out of This World
1,Super Mario 64
