RANK,GAME,NOTES
100,Pong,
99,Words With Friends,
98,Pitfall!,
97,NBA 2K11,
96,Guitar Hero II,
95,Burger Time,
94,Braid,
93,Star Wars: TIE Fighter,
92,Galaga,
91,The Sims,
90,Baldur's Gate II: Shadows of Amn,
89,Left 4 Dead,
88,Double Dribble,
87,Mass Effect 2,
86,Out Run,
85,Silent Hill 2,
84,Wii Sports,
83,Ninja Gaiden,
82,Super Smash Bros. Melee,
81,Resident Evil,
80,Gears of War 3,
79,Psychonauts,
78,Spy Hunter,
77,Excitebike,
76,Blades of Steel,
75,Fallout 3,
74,Star Fox 64,
73,Mega Man 2,
72,Mortal Kombat,
71,Wing Commander II: V of the K,
70,Star Wars (Arcade),
69,Double Dragon,
68,Prince of Persia: Sands of Time,
67,Minecraft,
66,Assassin's Creed II,
65,Unreal Tournament,
64,NBA Jam,
63,Wolfenstein 3D,
62,Civilization II,
61,God of War III,
60,Contra,
59,Day of the Tentacle,
58,Ultima Online,
57,Pokemon Red and Blue,
56,Street Fighter IV,*Listed as Super Street Fighter IV
55,Kingdom Hearts,
54,Gauntlet,
53,Deus Ex,
52,Rock Band 3,
51,Ratchet & Clank: Going Commando,
50,Sonic the Hedgehog,
49,Angry Birds,
48,Tecmo Bowl,
47,Myst,
46,Red Dead Redemption,
45,Metal Gear Solid,
44,Grand Theft Auto IV,
43,Quake III Arena,
42,Ghosts'n Goblins,
41,Super Mario 64,
40,Space Invaders,
39,Tony Hawk's Pro Skater,
38,Super Metroid,
37,Halo: Combat Evolved,
36,Batman: Arkham City,
35,Castlevania: Symphony of the Night,
34,Counter-Strike,
33,Final Fantasy VII,
32,Mike Tyson's Punch Out!!,
31,The Elder Scrolls V: Skyrim,
30,Street Fighter II,*Listed as Super Street Fighter II: Turbo
29,Star Wars: Knights of the Old Republic,
28,Super Mario Kart,
27,Chrono Trigger,
26,Ico,
25,Grand Theft Auto III,
24,Madden NFL 2005,
23,Halo 3,
22,Panzer Dragoon Saga,
21,Resident Evil 4,
20,Call of Duty 4: Modern Warfare,
19,Diablo II,
18,Ms. Pac-Man,
17,StarCraft,
16,Half-Life,
15,Donkey Kong,
14,Uncharted 2: Among Thieves,
13,Portal,
12,Doom 2,
11,The Legend of Zelda: Ocarina of Time,
10,World of Warcraft,
9,Shadow of the Colossus,
8,GoldenEye 007,
7,Super Mario Bros. 3,
6,The Legend of Zelda,
5,Tetris,
4,Asteroids,
3,BioShock,
2,The Legend of Zelda: A Link to the Past,
1,Super Mario Bros.,
