RANK,GAME
100,Devil May Cry 3: Dante's Awakening
99,Grandia II
98,Saints Row: The Third
97,Far Cry 3
96,Hitman 2: Silent Assassin
95,Dishonored
94,The Elder Scrolls IV: Oblivion
93,Tomb Raider (2013)
92,Mafia
91,Dragon Age: Origins
90,The Walking Dead
89,Batman: Arkham Asylum
88,Red Dead Redemption
87,Metroid Prime
86,Star Wars: Battlefront II (2005)
85,Mass Effect 3
84,Splinter Cell: Chaos Theory
83,Command & Conquer: Red Alert 2
82,Assassin's Creed II
81,Skies of Arcadia
80,Star Wars Jedi Knight: Dark Forces II
79,Braid
78,Halo Reach
77,Sanitarium
75,Resident Evil: Code Veronica
74,Gears of War
73,Call of Duty 2
72,God of War
71,Grand Theft Auto: San Andreas
70,Prince of Persia: Sands of Time
69,Uncharted 2: Among Thieves
68,BioShock
67,Tekken 3
66,Castlevania: Symphony of the Night
65,Mass Effect 2
64,God of War II
63,The Elder Scrolls V: Skyrim
62,Batman: Arkham City
61,The Secret of Monkey Island
60,Super Mario 64
59,Shadow of the Colossus
58,GoldenEye 007
57,Fallout
56,Dreamfall: The Longest Journey
55,Silent Hill 2
54,Star Wars: Knights of the Old Republic
53,Civilization II
52,X-COM: UFO Defense
51,Counter-Strike
50,Star Fox 64
49,Planescape Torment
48,Icewind Dale
47,The Legend of Zelda: The Wind Waker
46,Baldur's Gate II: Shadows of Amn
45,Halo: Combat Evolved
44,Star Wars: X-Wing
43,Resident Evil 4
42,Portal 2
41,Thief: The Dark Project
40,Final Fantasy VII
39,Grand Theft Auto
38,Resident Evil 2
37,Tomb Raider
36,Ms. Pac-Man
35,Mega Man X
34,Metal Gear Solid
33,Age of Empires
32,StarCraft
31,Diablo II
30,SimCity
30,SimCity 2000
30,SimCity 3000
30,SimCity 4
29,Warcraft II
28,Super Mario World 2: Yoshi's Island
27,Mario Kart 64
26,SoulCalibur
25,Street Fighter II
24,Mega Man
23,Secret of Mana
22,Double Dragon
21,EarthBound
20,Quake
19,System Shock 2
18,Grim Fandango
17,Wolfenstein 3D
16,Donkey Kong
15,Contra
14,Ultima I
13,Sonic the Hedgehog 2
11,Half-Life 2
10,Doom
9,Pac-Man
8,Prince of Persia
7,Pitfall!
6,Half-Life
5,The Legend of Zelda: A Link to the Past
4,Super Mario Bros.
3,Pong
2,Super Mario Bros. 3
1,The Legend of Zelda: Ocarina of Time
