RANK,GAME,NOTES
100,Wii Sports,
99,Mortal Kombat,*Listed as Mortal Kombat Series
99,Mortal Kombat II,*Listed as Mortal Kombat Series
99,Mortal Kombat 3,*Listed as Mortal Kombat Series
99,Mortal Kombat 4,*Listed as Mortal Kombat Series
99,Mortal Kombat: Deadly Alliance,*Listed as Mortal Kombat Series
99,Mortal Kombat: Deception,*Listed as Mortal Kombat Series
99,Mortal Kombat: Armageddon,*Listed as Mortal Kombat Series
99,Mortal Kombat (2011),*Listed as Mortal Kombat Series
98,X-COM: UFO Defense,*Listed as X-COM Series
98,X-COM: Terror from the Deep,*Listed as X-COM Series
98,X-COM: Apocalypse,*Listed as X-COM Series
98,X-COM: Interceptor,*Listed as X-COM Series
98,X-COM: Enforcer,*Listed as X-COM Series
98,XCOM: Enemy Unknown,*Listed as X-COM Series
97,Thief: The Dark Project,
96,Sonic the Hedgehog,
95,Infamous,
94,Jak 3,
93,Marvel vs. Capcom: Clash of Super Heroes,*Listed as Marvel vs. Capcom Series
93,Marvel vs. Capcom 2: New Age of Heroes,*Listed as Marvel vs. Capcom Series
93,Marvel vs. Capcom 3,*Listed as Marvel vs. Capcom Series
92,Oddworld: Abe's Oddysee,*Listed as Oddworld Series
92,Oddworld: Abe's Exoddus,*Listed as Oddworld Series
92,Oddworld: Munch's Oddysee,*Listed as Oddworld Series
92,Oddworld: Stranger's Wrath,*Listed as Oddworld Series
91,Fight Night Round 3,
90,Unreal Tournament,
89,Donkey Kong Country,
88,Vanquish,
87,Gears of War,
86,Angry Birds,
85,Star Wars: Knights of the Old Republic,
84,Perfect Dark,
83,Rayman 2: The Great Escape,
82,Beyond Good & Evil,
81,Tom Clancy's Rainbow Six,
80,Infinity Blade,
79,Limbo,
78,Jet Set Radio,
77,NHL Hockey,*Listed as NHL Hockey Series
77,NHLPA Hockey '93,*Listed as NHL Hockey Series
77,NHL '94,*Listed as NHL Hockey Series
77,NHL 95,*Listed as NHL Hockey Series
77,NHL 96,*Listed as NHL Hockey Series
77,NHL 97,*Listed as NHL Hockey Series
77,NHL 98,*Listed as NHL Hockey Series
77,NHL 99,*Listed as NHL Hockey Series
77,NHL 2000,*Listed as NHL Hockey Series
