RANK,GAME,NOTES
100,Max Payne 2: The Fall of Max Payne,
99,Star Wars Jedi Knight II: Jedi Outcast,
98,Lumines: Electronic Symphony,
97,Limbo,
96,Pac-Man: Championship Edition,
95,Star Wars Rogue Squadron II: Rogue Leader,
94,Planet Puzzle League,
93,Tony Hawk's Pro Skater 3,
92,The Sims 3,
91,Minecraft,
90,Left 4 Dead 2,
89,Worms Armageddon,
88,Silent Hill 2,
87,Race Driver: GRID,
86,Secret of Mana,
85,Virtua Fighter 5,*Listed as Virtua Fighter 5: Final Showdown
84,Paper Mario,
83,To The Moon,
82,Bomberman Live,
81,Bayonetta,
80,Far Cry 3,
79,Grim Fandango,
78,Battlefield 4,
77,Donkey Kong (Game Boy),
76,Geometry Wars Retro Evolved 2,
75,StarCraft II: Wings of Liberty,
74,Forza 4,
73,Cave Story,*Cave Story +
72,Fallout 2,
71,Star Fox 64,*Star Fox 64 3D
70,Unreal Tournament 2004,
69,Saints Row: The Third,
68,Planescape Torment,
67,Prince of Persia: Sands of Time,
66,Deus Ex: Human Revolution,
65,Dead Space 2,
64,Psychonauts,
63,Ultimate Marvel vs. Capcom 3,
62,Gears of War 2,
61,Sonic the Hedgehog 2,
60,Okami,*Okami HD
59,Star Wars: Knights of the Old Republic,
58,The Secret of Monkey Island,
57,Fire Emblem: Awakening,
56,Counter-Strike: Global Offensive,
55,Warcraft III: Reign of Chaos,
54,The Elder Scrolls V: Skyrim,
53,Final Fantasy Tactics,
52,Dragon Quest VIII: Journey of the Cursed King,
51,Mario Kart 7,
50,Advance Wars,
49,Super Meat Boy,
48,Super Mario World 2: Yoshi's Island,
47,Final Fantasy X,
46,The Witcher 2: Assassins of Kings,
45,XCOM: Enemy Within,
44,Burnout Paradise,
43,Sid Meier's Civilization V,
42,Dragon Age: Origins,
41,Pokemon X and Y,
40,Diablo II,
39,Mega Man 2,
38,Halo 4,
37,Braid,
36,Rock Band 3,
35,Castlevania: Symphony of the Night,
34,Super Smash Bros. Brawl,
33,Mother 3,
32,Assassin's Creed IV: Black Flag,
31,Final Fantasy VI,
30,Resident Evil 4,
29,Call of Duty 4: Modern Warfare,
28,Grand Theft Auto V,
27,Journey,
26,The Walking Dead,
25,Tetris,*Tetris DS
24,Street Fighter IV,*Super Street Fighter IV
23,Metal Gear Solid 3: Snake Eater,
22,League of Legends,
21,Dark Souls,
20,Persona 4,*Listed as Persona 4 Golden
19,Metroid Prime,
18,Team Fortress 2,
17,Tomb Raider (2013),
16,Half-Life 2,
15,Batman: Arkham City,
14,Uncharted 2: Among Thieves,
13,Super Mario Galaxy 2,
12,Red Dead Redemption,
11,Mass Effect 2,
10,World of Warcraft,
9,The Legend of Zelda: A Link to the Past,
8,The Last of Us,
7,Super Mario World,
6,BioShock,
5,The Legend of Zelda: The Wind Waker,
4,Shadow of the Colossus,
3,Super Metroid,
2,Chrono Trigger,
1,Portal,
