RANK,GAME,NOTES,
100,Red Dead Redemption,
99,Micro Machines,
98,Homeworld,
97,Resident Evil: Code Veronica,
96,Dragon Age: Inquisition,
95,Wing Commander IV: The Price of Freedom,
94,King's Quest II: Romancing the Throne,
93,EarthBound,
92,Thief II: The Metal Age,
91,Little Big Adventure 2,
90,Indiana Jones and the Fate of Atlantis,
89,Space Quest IV: Roger Wilco and the Time Rippers,
88,Kirby's Adventure,
87,Star Wars: Battlefront (2004),
86,Devil May Cry 3: Dante's Awakening,
85,Mafia,
84,Tekken 3,
83,Shenmue,
82,Splinter Cell: Chaos Theory,
81,Diablo II,
80,Killer Instinct,
79,Baldur's Gate,
78,Hitman: Blood Money,
77,Theme Hospital,
76,Mega Man X,
75,SimCity 4,
74,Gran Turismo,
73,Mortal Kombat II,
72,FIFA 98,
71,Ninja Gaiden (2004),
70,Star Fox,
69,Star Wars: Knights of the Old Republic,
68,Halo 2,
67,Assassin's Creed: Brotherhood,
66,Beyond Good & Evil,
65,Day of the Tentacle,
64,Rez,
63,Persona 4,
62,Rome: Total War,
61,Limbo,
60,Burnout Paradise,
59,The Elder Scrolls III: Morrowind,
58,Sonic the Hedgehog 2,
57,Spelunky,
56,X-COM: UFO Defense,
55,Donkey Kong Country 2,
54,Banjo-Kazooie,
53,Paper Mario: The Thousand Year Door,
52,Return to Castle Wolfenstein,*Ranked along with Wolfenstein: Enemy Territory,
52,Wolfenstein: Enemy Territory,*Ranked along with Return to Castle Wolfenstein,
51,Far Cry 2,
50,Tony Hawk's Pro Skater 2,
49,Kingdom Hearts,
48,Batman: Arkham City,
47,Chrono Trigger,
46,Super Smash Bros. for Wii U,
45,Sid Meier's Civilization V,
44,Pokemon Gold and Silver,*Included with Pokemon Crystal,
44,Pokemon Crystal,*Included with Pokmeon Gold and Silver,
43,Fallout 2,
42,Counter-Strike,
41,Space Invaders,
40,Deus Ex,
39,Castlevania: Symphony of the Night,
38,Max Payne,
37,Metroid Prime,
36,Ico,
35,Grand Theft Auto,
34,Final Fantasy VII,
33,Resident Evil 4,
32,Half-Life,
31,The Sims 2,
30,Doom,
29,The Curse of Monkey Island,
28,Duke Nukem 3D,
27,God of War,
26,Unreal Tournament 2004,
25,Metal Gear Solid 3: Snake Eater,
24,Dark Souls,
23,Mass Effect 2,
22,BioShock,
21,Call of Duty 4: Modern Warfare,
20,Super Metroid,
19,Metal Gear Solid,
18,Commandos: Behind Enemy Lines,
17,Street Fighter II,
16,The Legend of Zelda: Majora's Mask,
15,Command & Conquer: Red Alert,
14,World of Warcraft,
13,The Legend of Zelda: A Link to the Past,
12,Super Mario World,
11,GoldenEye 007,
10,Super Mario Kart,
9,RollerCoaster Tycoon,
8,Uncharted 2: Among Thieves,
7,Portal,
6,Super Mario Galaxy,
5,Grand Theft Auto: Vice City,
4,Grand Theft Auto: San Andreas,
3,Tetris,
2,The Legend of Zelda: Ocarina of Time,
1,The Last of Us,
