RANK,GAME,Notes
100,Prince of Persia: Sands of Time,
99,Super Metroid,
98,Tomb Raider III,
97,South Park: The Stick of Truth,
96,Dragon Age: Origins,
95,Super Meat Boy,
94,Pokemon Red and Blue,
93,Metroid Prime 3: Corruption,
92,Sid Meier's Civilization V,
91,Chrono Trigger,
90,Fallout 3,
89,Sid Meier's Pirates!,
88,Kingdom Hearts II,
87,Assassin’s Creed: Brotherhood,
86,Baldur’s Gate,
85,F.E.A.R.,
84,Contra III: Alien Wars,
83,Fallout 2,
82,Uncharted 4: A Thief's End,
81,Child of Light,
80,Grand Theft Auto IV,
79,Rise of the Tomb Raider,
78,Resident Evil 4,
77,Quake III Arena,
76,Planescape Torment,
75,Battlefield 1942,
74,Batman: Arkham City,
73,The Last of Us,
72,Monster Hunter 4,*Listed as Monster Hunter 4: Ultimate
71,Metroid Prime 2: Echoes,
70,Gears of War,
69,Grand Theft Auto: Vice City,
68,Final Fantasy VII,
67,Tomb Raider,
66,Borderlands 2,
65,Undertale,
64,Max Payne,
63,Super Castlevania IV,
62,The Walking Dead,*Listed as The Walking Dead: Season 1
61,Star Wars: Knights of the Old Republic,
60,Metal Gear Solid 3: Snake Eater,
59,Gears of War 3,
58,Final Fantasy VIII,
57,Counter-Strike: Global Offensive,
56,Gears of War 2,
55,Zak McKracken and the Alien Mindbenders,
54,Secret of Evermore,
53,God of War II,
52,Vampire the Masquerade: Bloodlines,
51,Metroid Prime,
50,The Elder Scrolls III: Morrowind,
49,Baten Kaitos,
48,Dead Space,
47,Counter-Strike,*Listed as Counter-Strike 1.6
46,Rocket League,
45,Jagged Alliance,
44,Dead Space 2,
43,Super Mario Kart,
42,Shovel Knight,
41,Medal of Honor: Allied Assault,
40,Warcraft III: Reign of Chaos,
39,To The Moon,
38,Indiana Jones and the Fate of Atlantis,
37,BioShock,
36,Batman: Arkham Knight,
35,Mario Kart 64,
34,Mega Man X,
33,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,
32,The Binding of Isaac,*Listed as The Binding of Isaac: Rebirth
31,XCOM: Enemy Unknown,
30,Deus Ex,
29,Portal 2,
28,Pokemon Omega Ruby and Alpha Sapphire,
27,Metal Gear Solid,
26,Diablo 3,
25,Uncharted 2: Among Thieves,
24,The Elder Scrolls V: Skyrim,
23,The Legend of Zelda: Majora’s Mask,
22,Day of the Tentacle,
21,Super Mario 64,
20,GoldenEye 007,
19,Half-Life 2,
18,The Secret of Monkey Island,
17,Mass Effect 2,
16,The Witcher 3: Wild Hunt,
15,Dark Souls III,
14,Secret of Mana,
13,Okami,
12,Xenoblade Chronicles,
11,Grand Theft Auto V,
10,World of Warcraft,
9,Final Fantasy VI,
8,Half-Life 2,
7,Diablo II,
6,Bloodborne,
5,Red Dead Redemption,
4,Super Mario World,
3,Monkey Island 2: LeChuck's Revenge,
2,Shadow of the Colossus,
1,The Legend of Zelda: A Link to the Past,
