RANK,GAME,NOTES
100,Hearthstone,
99,Dead Rising,
98,Burnout: Revenge,
97,Deus Ex: Human Revolution,
96,Lost Odyssey,
95,Rainbow Six Vegas,
94,Rocket League,
93,Street Fighter V,
92,Poy! Poy!,
91,BioShock Infinite,
90,Secret of Mana,
89,Xenoblade Chronicles,
88,Myst,
87,Resident Evil 2,
86,TimeSplitters,
85,Beyond Good and Evil,
84,SSX On Tour,
83,Spyro the Dragon,
82,Forza Horizon 2,
81,Valkyria Chronicles,
80,Assassin's Creed IV: Black Flag,
79,Hitman: Blood Money,
78,Mike Tyson's Punch Out!!,
77,Persona 4,*Listed as Persona 4: Golden
76,SimCity 2000,
75,Prince of Persia: Sands of Time,
74,Silent Hill 2,
73,Borderlands,
72,Kingdom Hearts,
71,Call of Duty 2,
70,Onimusha 2: Samurai's Destiny,
69,Battlefield: Vietnam,
68,Super Mario World,
67,Final Fantasy VI,
66,God of War III,
65,Super Smash Bros. Melee,
64,Tekken 3,
63,Gears of War 2,
62,The Elder Scrolls IV: Oblivion,
61,Okami,
60,Skate 2,
59,Devil May Cry 3: Dante's Awakening,
58,Contra,
57,Limbo,
56,Gran Turismo 2,
55,Counter-Strike,
54,Wii Sports,
53,Micro-Maniacs,
52,EarthBound,
51,Dead Space,
50,Mass Effect 2,
49,Half-Life,
48,Heavy Rain,
47,Ico,
46,Crash Bandicoot: Warped,
45,Warcraft III: Reign of Chaos,
44,Age of Empires II: The Age of Kings,
43,Rayman,
42,Sonic the Hedgehog 2,
41,Pokemon Red and Blue,
40,Max Payne,
39,Tony Hawk's Pro Skater 3,
38,Portal,
37,Fallout 3,
36,The Walking Dead,*Listed as The Walking Dead: Season One
35,Diablo II,
34,Grand Theft Auto V,
33,Grim Fandango,
32,Mega Man 2,
31,Alan Wake,
30,Sid Meier's Pirates!,
29,Star Wars: Knights of the Old Republic,
28,Call of Duty 4: Modern Warfare,
27,Doom,
26,Tetris,
25,World of Warcraft,
24,Journey,
23,Shadow of the Colossus,
22,The Last of Us,
21,GoldenEye 007,
20,Uncharted 2: Among Thieves,
19,The Elder Scrolls V: Skyrim,
18,Halo 2,
17,Super Mario Bros. 3,
16,Inside,
15,Half-Life 2,
14,Metal Gear Solid 3: Snake Eater,
13,Chrono Trigger,
12,BioShock,
11,The Legend of Zelda: Twilight Princess,
10,Grand Theft Auto: Vice City,
9,Castlevania: Symphony of the Night,
8,Resident Evil 4,
7,The Witcher 3: Wild Hunt,
6,The Legend of Zelda: A Link to the Past,
5,Dark Souls,
4,Red Dead Redemption,
3,Final Fantasy VII,
2,Uncharted 4: A Thief's Edition,
1,Super Mario Galaxy,
