RANK,GAME,
100,Pokemon Go,
99,Final Fantasy VII,
98,Galaga,
97,Warcraft II,
96,Star Wars: TIE Fighter,
95,Oregon Trail,
94,Monkey Island 2: LeChuck's Revenge,
93,Burnout 3: Takedown,
92,Fallout 2,
91,Undertale,
90,League of Legends,
89,Mega Man 3,
88,SoulCalibur,
87,SimCity 2000,
86,Contra,
85,Inside,
84,Super Mario Odyssey,
83,System Shock 2,
82,Grand Theft Auto: Vice City,
81,Persona 5,
80,Grim Fandango,
79,The Legend of Zelda: The Wind Waker,
78,GoldenEye 007,
77,Super Smash Bros. Melee,
76,The Elder Scrolls V: Skyrim,
75,X-COM: UFO Defense,
74,Suikoden II,
73,Battlefield 1942,
72,Dota 2,
71,Final Fantasy Tactics,
70,Star Wars Jedi Knight II: Jedi Outcast,
69,Thief II: The Metal Age,
68,Spelunky,
67,Donkey Kong,
66,Team Fortress 2,
65,The Sims,
64,Rock Band,
63,Fallout 3,
62,Banjo-Kazooie,
61,Super Mario World 2: Yoshi's Island,
60,Silent Hill 2,
59,Grand Theft Auto: San Andreas,
58,Mass Effect,
57,Call of Duty 4: Modern Warfare,
56,Batman: Arkham City,
55,The Witness,
54,Journey,
53,Uncharted 2: Among Thieves,
52,The Legend of Zelda: Majora's Mask,
51,Overwatch,
50,Deus Ex,
49,Baldur's Gate II: Shadows of Amn,
48,Ms. Pac-Man,
47,Counter-Strike,
46,Persona 4,*Listed as Persona 4 Golden
45,EarthBound,
44,Resident Evil (2002),
43,Diablo II,
42,StarCraft,
41,World of Warcraft,
40,Star Wars: Knights of the Old Republic,
39,Metal Gear Solid 2: Sons of Liberty,
38,Final Fantasy VI,
37,Mass Effect 2,
36,Pokemon Yellow,
35,The Legend of Zelda,
34,Bloodborne,
33,Metroid Prime,
32,Resident Evil 4,
31,The Witcher 3: Wild Hunt,
30,Metal Gear Solid,
29,Super Mario Galaxy,
28,Shadow of the Colossus,
27,BioShock,
26,The Legend of Zelda: Breath of the Wild,
25,Sid Meier's Civilization IV,
24,Minecraft,
23,Halo 2,
22,Half-Life,
21,Metal Gear Solid 3: Snake Eater,
20,The Last of Us,
19,Doom,
18,Chrono Trigger,
17,Grand Theft Auto V,
16,Dark Souls,
15,Street Fighter II,
14,Super Mario Bros.,
13,Halo: Combat Evolved,
12,Castlevania: Symphony of the Night,
11,Portal 2,
10,Super Mario 64,
9,Red Dead Redemption,
8,Half-Life 2,
7,Tetris,
6,Super Mario Bros. 3,
5,The Legend of Zelda: A Link to the Past,
4,Super Metroid,
3,Portal,
2,The Legend of Zelda: Ocarina of Time,
1,Super Mario World,
