RANK,GAME
100,Phoenix
99,OXO
98,Oregon Trail
97,Burger King's Sneak King
96,Metroid
95,Enter the Matrix
94,Sid Meier's Pirates!
93,Uncharted 2: Among Thieves
92,The Elder Scrolls III: Morrowind
91,Lego Star Wars
90,Mario Party
89,Devil May Cry
88,God of War
87,Touhou Project
86,Brain Age: Train Your Brain in Minutes a Day!
85,Second Life
84,WCW/nWo Revenge
83,Resident Evil
82,Alien Hominid
81,Harvest Moon
80,Crash Bandicoot
79,Batman: Arkham Asylum
78,Super Smash Bros.
77,Prince of Persia
76,Super Mario RPG: Legend of the Seven Stars
75,Tomb Raider
74,Need for Speed Underground
73,Sid Meier's Civilization
72,Breakout
71,Tetris
70,Minecraft
69,Pitfall!
68,Diablo II
67,Missile Command
66,Star Wars: TIE Fighter
65,SimCity
64,Super Mario Kart
63,Battlefield 1942
62,Madden NFL 2005
61,Wii Fit
60,Donkey Kong Country
59,Street Fighter II
58,Kung-Fu Master
57,Karate Champ
56,Chrono Trigger
55,Halo 2
54,Gran Turismo
53,Pole Position
52,Double Fine Adventure
51,Assassin's Creed
50,GoldenEye 007
49,Final Fantasy VII
48,Super Mario 64
47,Quake
46,Tony Hawk's Pro Skater
45,Dota
44,Tamagotchi
43,Call of Duty 4: Modern Warfare
42,StarCraft
41,Dune II: The Building of a Dynasty
40,Double Dragon
39,Asteroids
38,Dance Dance Revolution
37,Duck Hunt
36,Tecmo Super Bowl
35,Gauntlet
34,Tennis For Two
33,Computer Space
32,Spacewar!
31,Wizardry: Proving Grounds of the Mad Overlord
30,Metal Gear Solid
29,Half-Life 2
28,Guitar Hero
27,The Legend of Zelda: Ocarina of Time
26,Grand Theft Auto III
25,Myst
24,Alone in the Dark
23,Counter-Strike
22,Neverwinter Nights
21,Ultima Online
20,Mortal Kombat
19,Bejeweled
18,The Sims
17,Final Fantasy I
16,Pong
15,Doom
14,World of Warcraft
13,Pokemon Red and Blue
12,Dragon Quest
11,Ms. Pac-Man
10,Wii Sports
9,Donkey Kong
8,Unreal Tournament
7,Catacomb 3-D
6,The Legend of Zelda
5,Maze War
4,pedit5
3,Magnavox Odyssey's Tennis
2,Space Invaders
1,Super Mario Bros.
