RANK,GAME,NOTES
100,Myst,
99,Doom,
98,League of Legends,
97,Microsoft Flight Simulator,
96,Ratchet & Clank,
95,Stardew Valley,
94,Star Fox 64,
93,Metroid Prime,
92,SimCity 2000,
91,Hitman (2016),*Listed as Hitman but because of no subtitle I am assuming 2016
90,Devil May Cry,
89,Bloodborne,
88,Mega Man 3,
87,Diablo,
86,EarthBound,
85,Eve Online,
84,Left 4 Dead,
83,Gran Turismo,
82,Batman: Arkham City,
81,Resident Evil 4,
80,Super Mario Kart,*Listed as Mario Kart
79,Mafia,
78,Titanfall 2,
77,Dead Space,
76,NBA 2K3,
75,Call of Duty,
74,Donkey Kong,
73,Dead Rising 3,
72,Dark Souls II,
71,StarCraft,
70,Fable,
69,Diablo II,
68,X-COM: UFO Defense,*Listed simply as X-COM, so assuming original
67,ReCore,
66,Need for Speed Underground 2,
65,Galaga,
64,SoulCalibur,
63,The Order: 1886,*Listed as The Order
62,Duke Nukem 3D,
61,Firewatch,
60,Unreal Tournament,
59,Tony Hawk's Pro Skater 2,
58,Final Fantasy IX,
57,Deus Ex,
56,Teenage Mutant Ninja Turtles: Turtles in Time,
55,Assassin's Creed II,
54,Where in the World Is Carman Sandiego?,
53,Horizon: Zero Dawn,
52,Command & Conquer,
51,Counter-Strike,
50,Mortal Kombat 3,
49,Mass Effect 2,
48,Divinity: Original Sin II,
47,Destiny,
46,Red Dead Redemption,
45,Forza Motorsport 6,
44,Cuphead,
43,Rise of the Tomb Raider,
42,The Last of Us,
41,Dishonored 2,
40,Gears of War 2,
39,Wolfenstein: The New Order,
38,No Man's Sky,
37,Overcooked,
36,BioShock,
35,Guild Wars 2,
34,Quake,
33,Tomb Raider,*I don't know which one they mean -- but there is a pic of the original
32,The Witcher 3: Wild Hunt,
31,We Happy Few,
30,Rocket League,
29,Oregon Trail,
28,Limbo,
27,Super Mario Bros.,
26,Castle Crashers,
25,The Legend of Zelda: A Link to the Past,
24,God of War (2018),I have no idea which one -- I would assume 2018 based on the rest of the list\
23,Tetris,
22,Valiant Hearts: The Great War,
21,Overwatch,
20,Inside,
19,Battlefield 1,
18,GoldenEye 007,
17,Street Fighter II,
16,Crysis,
15,Half-Life 2,
14,Dragon Age: Inquisition,
13,Far Cry 3,
12,World of Warcraft,
11,Halo: Combat Evolved,
10,Grand Theft Auto: Vice City,
9,The Elder Scrolls V: Skyrim,
8,Marvel's Spider-Man,*Listed simply as Spider-Man
7,Borderlands 2,
6,Uncharted 4: A Thief's End,
5,Fallout: New Vegas,
4,Minecraft,
3,Space Invaders,
2,Super Mario World,
1,Grand Theft Auto V,
