RANK,GAME,NOTES
100,Among Us,
99,Marvel vs. Capcom 2: New Age of Heroes,
98,Mediveal 2: Total War,
97,Battlefield: Bad Company 2,
96,Max Payne 2,
95,Mega Man 2,
94,Crusader Kings 3,
93,The Binding of Isaac,
92,Fortnite,
91,Call of Duty 4: Modern Warfare,
90,Firewatch,
89,Devil May Cry 3: Dante's Awakening,
88,Streets of Rage 2,
87,Invisible Inc,
86,Dead Rising,
85,Batman: Arkham Knight,
84,Fallout 3,
83,Genshin Impact
82,Splinter Cell: Chaos Theory,
81,Skies of Arcadia,
80,GoldenEye 007,
79,Deus Ex,
78,The Elder Scrolls III: Morrowind,
77,Subnautica,
76,Slay the Spire,
75,World of Warcraft,
74,Silent Hill 2,
73,Wii Sports,
72,Apex Legends,
71,Uncharted 2: Among Thieves,
70,Rocket League,
69,Into the Breach,
68,Journey,
67,Final Fantasy XIV,
66,Outer Wilds,
65,Suikoden 2,
64,Metroid Dread,
63,Undertale,
62,Kirby Super Star,
61,Resident Evil 7,
60,Phoenix Wright: Ace Attorney,
59,Assassin's Creed IV: Black Flag,
58,The Last of Us,*Listed as The Last of Us Part 1 & 2
58,The Last of Us Part II,*Listed as The Last of Us Part 1 & 2
57,Ori and the Blind Forest,
56,Thief II: The Metal Age
55,Fable,
54,"Papers, Please",
53,Hotline Miami,
52,Warcraft III: Reign of Chaos,
51,Need for Speed Underground 2,
50,Hollow Knight,
49,XCOM: Enemy Unknown,*Listed as just XCOM but based on the image I am assuming it is the 2012 game
48,Deathloop,
47,Sid Meier's Civilization IV,
46,Super Mario 64,
45,Return of the Obra Dinn,
44,Hitman 3,
43,"The Legend of Zelda: Link's Awakening",
42,Sonic the Hedgehog 3,*Listed as Sonic 3 & Knuckles
42,Sonic & Knuckles,*Listed as Sonic 3 & Knuckles
41,Super Mario Bros. 3,
40,"Nier: Automata",
39,Heroes of Might and Magic III,
38,Elden Ring,
37,"The Legend of Zelda: Ocarina of Time",
36,Stardew Valley,
35,Age of Empires II: The Age of Kings,
34,Grand Theft Auto V,
33,"FTL: Faster Than Light",
32,Dishonored 2,
31,"Metal Gear Solid V: The Phantom Pain",
30,"Dragon Age: Origins",
29,Xenoblade Chronicles,*Listed as Xenoblade Chronicles: Definitive Edition
28,Super Smash Bros. Melee,
27,League of Legends,
26,Mass Effect 2,
25,Dark Souls,
24,"Half-Life: Alyx",
23,Doom (2016),
22,"Alien: Isolation",
21,Red Dead Redemption 2,
20,StarCraft II: Wings of Liberty,
19,Tetris,
18,Final Fantasy VII,
17,Hades,
16,Resident Evil 2 Remake,
15,It Takes Two,
14,Celeste,
13,God of War (2018),
12,Disco Elysium,
11,Persona 5,
10,Bloodborne,
9,Resident Evil 4,
8,Pokemon HeartGold and SoulSilver,
7,Minecraft,
6,The Elder Scrolls V: Skyrim,
5,The Legend of Zelda: Breath of the Wild,
4,The Witcher 3: Wild Hunt,
3,Metal Gear Solid,
2,Castlevania: Symphony of the Night,
1,Shadow of the Colossus,
