RANK,GAME,NOTES
30,Burnout 3: Takedown,
29,Splinter Cell: Chaos Theory,
28,Shadow of the Colossus,
27,Mass Effect 2,
26,Batman: Arkham City,
25,Gran Turismo 3: A-Spec,
24,The Elder Scrolls V: Skyrim,
23,Portal 2,
22,Control,
21,Halo 3,
20,Silent Hill 2,
19,Undertale,
18,Ori and the Will of the Wisps,
17,Forza Horizon 5,
15,Hades,
14,Hollow Knight,
13,Persona 5, *Listed as Persona 5: Royal
12,The Last of Us,
11,Metal Gear Solid 2: Sons of Liberty,
10,Resident Evil 2 (2019),
9,Super Mario Odyssey,
8,Grand Theft Auto V,
7,Bloodborne,
6,The Witcher 3: Wild Hunt,
5,Elden Ring,
4,Half-Life 2,
3,God of War (2018),
2,Red Dead Redemption 2
1,The Legend of Zelda: Breath of the Wild,
