RANK,GAME,NOTES
98,Ms. Pac-Man,
97,RollerCoaster Tycoon,
96,Galaga,
95,"Nine Hours, Nine Persons, Nine Doors",
94,Myst,
93,Firewatch,
92,The World Ends With You,
91,Spec Ops: The Line,
90,Sam & Max Save the World,
89,Danganronpa 2: Goodbye Despair,
88,Sly 2: Band of Thieves,
87,Journey,
86,Gears of War 3,
85,Hades,
84,Viewtiful Joe,
83,Devil May Cry 5,
82,Dragon Quest VIII: Journey of the Cursed King,
81,Team Fortress 2,
80,Hollow Knight,
79,Borderlands 2,
78,Kentucky Route Zero,
77,Doki Doki Literaturę Club,
76,Ratchet & Clank: Up Your Arsenal,
75,Okami,
74,Batman: Arkham City,
73,Horizon: Zero Dawn,
72,Psychonauts,
71,Outer Wilds,
70,Dead Cells,
69,Fire Emblem: Three Houses,
68,Yakuza 6: The Song of Life,
67,Pokemon Diamond and Pearl,
66,Shin Megami Tensei 5,
65,Phoenix Wright: Ace Attorney,
64,Katamari Damacy,
63,Alan Wake,
62,Grim Fandango,
61,Undertale,
60,Eternal Darkness: Sanity's Requiem,
59,Pokemon Legends: Arceus,
58,Star Wars: Knights of the Old Republic,
57,Persona 4,
56,Uncharted 3: Drake's Deception,
55,Yakuza 0,
54,Harvest Moon 64,
53,Fallout: New Vegas,
52,Pikmin,
51,Tekken 3,
50,StarCraft II: Wings of Liberty,
49,BioShock,
48,Grand Theft Auto IV,
47,Animal Crossing: New Horizons,
46,God of War (2018),
45,Metal Gear Solid,
44,Bloodborne,
43,System Shock 2,
42,EarthBound,
41,Donkey Kong Country,
40,Tetris,
39,The Witcher 3: Wild Hunt,
38,The Sims,
37,League of Legends,
36,Diablo II,
35,Elden Ring,
34,Persona 5,*Listed as Persona 5 Royal
33,Marvel vs. Capcom 2: New Age of Heroes,
32,Doom,
31,Super Mario Bros.,
30,Fallout 3,
29,Resident Evil 4,
28,The Legend of Zelda: The Wind Waker,
27,Super Mario Galaxy 2,
26,Call of Duty 4: Modern Warfare,
25,Grand Theft Auto V,
24,Super Smash Bros. Melee,
23,Metal Gear Solid 3: Snake Eater,
22,Silent Hill 2,
21,The Elder Scrolls V: Skyrim,
20,Metroid Prime,
19,World of Warcraft,
18,Halo 3,
17,The Legend of Zelda: Ocarina of Time,
16,Half-Life 2,
15,Dark Souls,
14,Castlevania: Symphony of the Night,
13,Street Fighter II,
12,Red Dead Redemption 2,
11,Minecraft,
10,Shadow of the Colossus,
9,Pokemon FireRed and LeafGreen,
8,Chrono Trigger,
7,Final Fantasy VII,
6,Sonic the Hedgehog 2,
5,Super Metroid,
4,Portal 2,
3,The Last of Us,
2,The Legend of Zelda: Breath of the Wild,
1,Super Mario 64,
