RANK,GAME,NOTES
100,"Star Wars: Knights of the Old Republic",
99,Rez,
98,"Age Of Empires II: The Age of Kings",
97,The Return of the Obra Dinn,
96,"Super Mario Bros.",
95,"Ultima Underworld: The Stygian Abyss",
94,Okami,
93,Fable II,
92,Mass Effect,
91,Grand Theft Auto IV,
90,Super Mario Kart,
89,Hitman (2016), *Listed as Hitman: World of Assassination
89,Hitman 2, *Listed as Hitman: World of Assassination
89,Hitman 3, *Listed as Hitman: World of Assassination
88,The Last Guardian,
87,Super Mario Odyssey,
86,"Sid Meier's Civilization V",
85,Final Fantasy XIV, *Listed as Final Fantasy XIV: A Realm Reborn
84,Shenmue,
83,BioShock Infinite,
82,"Dragon Age: Origins",
81,Fortnite,
80,Firewatch,
79,Tetris Effect,
78,"Tony Hawk's Pro Skater 2",
77,The Secret of Monkey Island ,
76,Pokemon Gold and Silver,
75,Metroid Prime,
74,Undertale,
73,Final Fantasy VI,
72,Yakuza 0,
71,"Call of Duty 4: Modern Warfare",
70,Left 4 Dead 2,
69,"The Legend of Zelda: Majora's Mask",
68,"Thief: The Dark Project",
67,"The Legend of Zelda: Wind Waker",
66,"Fallout: New Vegas",
65,GoldenEye 007 ,
64,Persona 5,
63,The Sims 2,
62,Castlevania: Symphony of the Night,
61,Grand Theft Auto III,
60,Super Metroid,
59,Fallout 3,
58,The Elder Scrolls IV: Oblivion,
57,Final Fantasy IX,
56,Inside,
55,Hollow Knight,
54,Ico,
53,Dishonored 2,
52,Half-Life,
51,Final Fantasy X,
50,Spelunky,
49,Stardew Valley,
48,Grand Theft Auto V,
47,God of War (2018),
46,Destiny,
45,Halo 3,
44,The Elder Scrolls III: Morrowind,
43,Nier: Automata,
42,Chrono Trigger,
41,The Sims,
40,Super Mario Galaxy,
39,What Remains of Edith Finch,
38,Hades,
37,Silent Hill 2,
36,Super Mario Bros. 3,
35,Portal,
34,Uncharted 2: Among Thieves,
33,Metal Gear Solid 3: Snake Eater,
32,Deus Ex,
31,Shadow of the Colossus,
30,Outer Wilds,
29,Journey,
28,The Last of Us Part II,
27,Street Fighter II,
26,The Legend of Zelda: A Link to the Past,
25,Pokémon Red and Blue,
24,Minecraft,
23,BioShock,
22,World of Warcraft,
21,Halo: Combat Evolved,
20,Elden Ring,
19,Doom,
18,Super Mario 64,
17,Final Fantasy VII,
16,The Elder Scrolls V: Skyrim,
15,Red Dead Redemption 2,
14,Super Mario World,
13,The Legend of Zelda: Ocarina of Time,
12,Disco Elysium,
11,Resident Evil 4,
10,Half-Life 2,
9,Dark Souls,
8,Portal 2,
7,Metal Gear Solid,
6,Mass Effect 2,
5,The Witcher 3: Wild Hunt,
4,Bloodborne,
3,Tetris,
2,The Last of Us,
1,The Legend of Zelda: Breath of the Wild,
