RANK,GAME,NOTES
100,Among Us,
99,Danganronpa,
98,Battlefield: Bad Company 2,
97,Medieval 2: Total War,
96,Max Payne 2,
95,Crusader Kings 3,
94,Fortnite,
93,Call of Duty 4: Modern Warfare,
92,Mega Man 2,
91,The Binding of Isaac,
90,Sly Cooper and the Thevius Raccoonus,
89,Devil May Cry 3,
88,Streets of Rage 2,
87,Batman: Arkham Knight,
86,Fallout 3,
85,Dead Rising,
84,Genshin Impact,
83,"Invisible, Inc.",
82,Splinter Cell: Chaos Theory,
81,Skies of Arcadia,
80,Pokemon Emerald,
79,Deus Ex,
78,GoldenEye 007,
77,"Tony Hawk's Pro Skater 2",
76,Slay the Spire,
75,World of Warcraft,
74,Apex Legends,
73,Silent Hill 2,
72,Uncharted 2: Among Thieves,
71,Wii Sports,
70,Rocket League,
69,Journey,
68,Secret of Monkey Island,
67,Final Fantasy XIV,
66,Suikoden 2,
65,Runescape,*Listed as Oldschool Runescape
64,Undertale,
63,Kriby Super Star,
62,Resident Evil 7,
61,Phoenix Wright: Ace Attorney,
60,Super Metroid,
59,Assassin’s Creed IV: Black Flag,
58,Fire Emblem: Awakening,
57,The Last of Us,
56,Hotline Miami,
55,Thief II: The Metal Age,
54,Ori and the Blind Forest,
53,Yakuza 0,
52,Fable,
51,Shovel Knight,
50,Hollow Knight,
49,XCOM: Enemy Unknown,
48,"Sid Meier's Civilization IV",
47,Alien: Isolation,
46,Unpacking,
45,Super Mario World,
44,Return of the Obra Dinn,
43,Hitman 3,
42,Portal,
41,Sonic the Hegehog 3,*Listed as Sonic 3 & Knuckles
41,Sonic & Knuckles,*Listed as Sonic 3 & Knuckles
40,Heroes of Might and Magic III,
39,Nier: Automata,
38,Dark Souls,
37,Stardew Valley,
36,Age of Empires II: The Age of Kings,*Listed as Age of Empires 2 Definitive Edition
35,Grand Theft Auto V,
34,The Legend of Zelda: Ocarina of Time,
33,FTL: Faster Than Light,
32,Dishonored 2,
31,EarthBound,
30,Super Mario 64,
29,Dragon Age: Origins,
28,Xenoblade Chronicles,* Listed as Xenoblade Chronicles: Definitive Edition
27,Super Smash Bros.: Melee,
26,League of Legends,
25,Mass Effect 2,
24,BioShock,
23,Bloodborne,
22,Half-Life 2,
21,Doom (2016),
20,Red Dead Redemption 2,
19,StarCraft II: Wings of Liberty,
18,Tetris,
17,Hades,
16,Final Fantasy VII,
15,Celeste,
14,Chrono Trigger,
13,God of War (2018),
12,Disco Elysium,
11,Minecraft,
10,Persona 5,*Listed as Persona 5 Royal
9,Elden Ring,
8,Resident Evil 4,
7,Pokemon HeartGold and SoulSilver,
6,The Elder Scrolls V: Skyrim,
5,The Legend of Zelda: Breath of the Wild,
4,The Witcher 3: Wild Hunt,
3,Metal Gear Solid,
2,Castlevania: Symphony of the Night,
1,Shadow of the Colossus,
