RANK,GAME,NOTES
Unranked,Mass Effect 2,
Unranked,The Elder Scrolls V: Skyrim,
Unranked,Dark Souls,
Unranked,Batman: Arkham City,
Unranked,The Last of Us,
Unranked,BioShock Infinite,
Unranked,Grand Theft Auto V,
Unranked,Bayonetta 2,
Unranked,The Witcher 3: Wild Hunt,
Unranked,Pokemon Go,
Unranked,Overwatch,
Unranked,Fortnite,
Unranked,The Legend of Zelda: Breath of the Wild,
Unranked,Cuphead,
Unranked,Super Mario Odyssey,
Unranked,Celeste,
Unranked,God of War (2018),
Unranked,Marvel's Spider-Man,
Unranked,Red Dead Redemption 2,
Unranked,Death Stranding,
