PUBLICATION,GAME,NOTES
BAFTA,Gran Turismo 3: A-Spec,
BAFTA,Tony Hawk's Pro Skater 2 (Game Boy),
BAFTA,Max Payne,
D.I.C.E.,Halo: Combat Evolved,
Game Developer's Choice Awards,Grand Theft Auto III,
Japan Game Awards,Final Fantasy X,
VSDA,Tony Hawk's Pro Skater 2,
GameSpot,Grand Theft Auto III,
GameSpot,Serious Sam: The First Encounter,
IGN,Halo: Combat Evolved,
EGM,Halo: Combat Evolved,
NAVGTR,Grand Theft Auto III,
ShackNews,Max Payne,*PC
ShackNews,Halo: Combat Evolved,*Console
ArsTechnica,Halo: Combat Evolved,
