RANK,GAME,NOTES
Unranked,SimCity 4,
Unranked,Dark Cloud 2,
Unranked,Xenosaga Episode I: Der Wile zur Macht,
Unranked,Midnight Club II,
Unranked,Ikaruga,
Unranked,NBA Street Vol. 2,
Unranked,Return to Castle Wolfenstein: Tides of War,
Unranked,Castlevania: Aria of Sorrow,
Unranked,"Warioware, Inc.: Mega Microgames!",
Unranked,Advance Wars 2: Black Hole Rising,
Unranked,Warcraft III: Frozen Throne,
Unranked,Star Wars: Knights of the Old Republic,
Unranked,Splashdown: Rides Gone Wild,
Unranked,Madden NFL 2004,
Unranked,Virtua Fighter 4,*Listed as Virtua Fighter 4: Evolution
Unranked,Tron 2.0,
Unranked,Disgaea: Hour of Darkness,
Unranked,SoulCalibur II,
Unranked,Final Fantasy Tactics Advance,
Unranked,ESPN NFL Football,
Unranked,Homeworld 2,
Unranked,Tiger Woods PGA Tour 2004,
Unranked,NHL 2004,
Unranked,Viewtiful Joe,
Unranked,Jak II,
Unranked,Max Payne 2: The Fall of Max Payne,
Unranked,Crimson Skies: High Road to Revenge,
Unranked,SSX 3,
Unranked,Super Mario Bros. 3,*Listed as Super Mario Advance 4: Super Mario Bros. 3
Unranked,ESPN NBA Basketball,
Unranked,Gladius,
Unranked,Rainbow Six 3,
Unranked,Tony Hawk's Underground,
Unranked,Top Spin,
Unranked,Call of Duty,
Unranked,Fire Emblem (GBA),
Unranked,SOCOM II: U.S. Navy SEALs,
Unranked,Prince of Persia: Sands of Time,
Unranked,Ratchet & Clank: Going Commando,
Unranked,Beyond Good & Evil,
Unranked,Mario Kart: Double Dash!!,
Unranked,Project Gotham Racing 2,
Unranked,Final Fantasy X-2,
Unranked,Mario & Luigi: Superstar Saga,
Unranked,Manhunt,
Unranked,Need for Speed Underground,
Unranked,Deus Ex: Invisible War,
Unranked,Fatal Frame 2: Crimson Butterfly,
Unranked,The Sims: Bustin' Out,
