RANK,GAME,NOTES
50,Final Fantasy X-2,
49,Star Ocean 3: Till the End of Time,
48,SEGA SuperStars,
47,TOCA Race Driver 2,
46,FIFA Soccer 2005,
45,Medal of Honor: Pacific Assault,
44,Metroid: Zero Mission,
43,F-Zero: GP Legend,
42,Final Fantasy Crystal Chronicles,
41,Deus Ex: Invisible War,
40,Star Wars: Battlefront (2004),
39,Onimusha 3: Demon Siege,
38,Harvest Moon: A Wonderful Life,
37,Final Fantasy XI,
36,Vampire The Masquerade: Bloodlines,
35,"Warhammer 40,000: Dawn of War",
34,Jak 3,
33,Animal Crossing,
32,Fire Emblem (GBA),
31,Psi-Ops: The Mindgate Conspiracy,
30,Tiger Wood PGA Tour 2005,
29,Fable,
28,Football Manager 2005,
27,Metal Gear Solid: The Twin Snakes,
26,Far Cry,
25,Splinter Cell: Pandora Tomorrow,
24,Pikmin 2,
23,Rallisport Challenge 2,
22,OutRun 2,
21,Disgaea: Hour of Darkness,
20,Sly 2: Band of Thieves,
19,Thief: Deadly Shadows,
18,Transformers,
17,Fatal Frame 2: Crimson Butterfly,
16,Tales of Symphonia,
15,Ratchet & Clank: Up Your Arsenal,
14,The Legend of Zelda: The Minish Cap,
13,Paper Mario: The Thousand Year Door,
12,Full Spectrum Warrior,
11,Doom 3,
10,SingStar,
9,Burnout 3: Takedown,
8,Halo 2,
7,Rome: Total War,
6,Pro Evolution Soccer 4,
5,Metroid Prime 2: Echoes,
4,Ninja Gaiden (2004),
3,Grand Theft Auto: San Andreas,
2,The Chronicles of Riddick: Escape From Butcher Bay,
1,Half-Life 2,
