RANK,GAME,NOTES
25,Shadows of the Damned,
24,Resistance 3,
23,Dance Central 2,
22,Dead Space 2,
21,Mortal Kombat (2011),
20,Driver: San Francisco,
19,Madden NFL 12,
18,Saints Row: The Third,
17,L.A. Noire,
16,Rayman: Origins,
15,Assassin's Creed: Revelations,
14,Battlefield 3,
13,Gears of War 3,
12,The Legend of Zelda: Skyward Sword,
11,Uncharted 3: Drake's Deception,
10,Super Mario 3D Land,
9,Marvel vs. Capcom 3,*Listed as Ultimate Marvel vs. Capcom 3
8,Batman: Arkham City,
7,Child of Eden,
6,Call of Duty: Modern Warfare 3,
5,Bastion,
4,Deus Ex: Human Revolution,
3,Dark Souls,
2,The Elder Scrolls V: Skyrim,
1,Portal 2,
