RANK,GAME,NOTES
30,Lone Survivor,
29,Dragon's Dogma,
28,Need for Speed: Most Wanted (2012),
27,Torchlight II,
26,The Unfinished Swan,
25,The Secret World,
24,Max Payne 3,
23,Tokyo Jungle,
22,Thirty Flights of Loving,
21,Assassin's Creed III,
20,Far Cry 3,
19,Trials Evolution,
18,Dear Esther,
17,Papo & Yo,
16,Diablo 3,
15,Borderlands 2,
14,Halo 4,
13,FTL: Faster Than Light,
12,Spec Ops: The Line,
11,Fez,
10,Sound Shapes,
9,Mark of the Ninja,
8,Dyad,
7,Spelunky,
6,XCOM: Enemy Unknown,
5,Mass Effect 3,
4,Hotline Miami,
3,Dishonored,
2,Journey,
1,The Walking Dead,
