PUBLICATION,GAME,
Game Awards,Grand Theft Auto V,
BAFTA,The Last of Us,
Czech Game of the Year Awards,ArmA III,
Czech Game of the Year Awards,Lums: The Game of Light and Shadows,
D.I.C.E. Awards,The Last of Us,
Game Developers Choice Awards,The Last of Us,
Golden Joystick Awards,Grand Theft Auto V,
Japan Game Awards,Animal Crossing: New Leaf,
SXSW Gaming Awards,The Last of Us
Famitsu,Monster Hunter 4,
Destructoid,The Last of Us,
GameTrailers,The Last of Us,
Giant Bomb,The Last of Us,
Edge,Grand Theft Auto V,
GameSpot,The Legend of Zelda: A Link Between Worlds,
IGN,The Last of Us,
GamesRadar+,The Last of Us,
Game Informer,The Last of Us,
NAVGTR,The Last of Us
New York Game Awards,The Last of Us
