RANK,GAME,NOTES
20,Borderlands: The Pre-Sequel,
19,Super Time Force,
18,Monument Valley,
17,South Park: The Stick of Truth,
16,Nidhogg,
15,Danganronpa: Trigger Happy Havoc,*Specifices this and 2
15,Danganronpa 2: Goodbye Despair,*Specifies this and original
14,Titanfall,
13,Desert Golfing,
12,Mario Kart 8,
11,Elite: Dangerous,
10,Shadow of Mordor,
9,Super Smash Bros. for Wii U,
8,Infamous Second Son,
7,Bayonetta 2,
6,Wolfenstein: The New Order,
5,Forza Horizon 2,
4,Sunset Overdrive,
3,Threes,
2,Far Cry 4,
1,Dragon Age: Inquisition,
