RANK,GAME,NOTES
Unranked,Super Smash Bros. for Wii U,
Unranked,Banner Saga,
Unranked,Bayonetta 2,
Unranked,Call of Duty: Advanced Warfare,
Unranked,Dragon Age: Inquisition,
Unranked,The Vanishing of Ethan Carter,
Unranked,Far Cry 4,
Unranked,Hearthstone,
Unranked,Mario Kart 8,
Unranked,Shadow of Mordor,
Unranked,P.T.,
Unranked,Shovel Knight,
Unranked,South Park: The Stick of Truth,
Unranked,Sunset Overdrive,
Unranked,The Talos Principle,
Unranked,Transistor,
Unranked,Wolfenstein: The New Order,
Unranked,The Wolf Among Us,
