RANK,GAME,NOTES
25,Child of Light,
24,Shovel Knight,
23,Diablo 3,
22,Transistor,
21,Donkey Kong Country: Tropical Freeze,
20,A Bird Story,
19,Never Alone,
18,Persona 4 Arena,*Listed as Persona 4 Arena Ultimax
17,Dragon Age: Inquisition,
16,Bravery Default,
15,The Wolf Among Us,
14,Call of Duty: Advanced Warfare,
13,The Last of Us: Left Behind,
12,Wolfenstein: The New Order,
11,The Walking Dead: Season Two,
10,Super Smash Bros. for Wii U,*Listed for both Wii U and 3DS
10,Super Smash Bros. for 3DS,*Listed for both Wii U and 3DS
9,Little Big Planet 3,
8,P.T.,
7,Far Cry 4,
6,Shadow of Mordor,
5,Infamous Second Son,
4,Mario Kart 8,
3,South Park: The Stick of Truth,
2,Bayonetta 2,
1,Persona Q: Shadow of the Labyrinth,
