RANK,GAME,NOTES
25,Assassin's Creed: Syndicate,
24,Evolve,
23,Halo 5: Guardians,
22,Heroes of the Storm,
21,Project CARS,
20,SOMA,
19,Undertale,
18,Her Story,
17,Rainbow Six Siege,
16,Just Cause 3,
15,Xenoblade Chronicles X,
14,Dying Light,
13,Cities: Skylines,
12,Splatoon,
11,Until Dawn,
10,Kerbal Space Program,
9,Tales from the Borderlands,
8,Rise of the Tomb Raider,
7,Ori and the Blind Forest,
6,Fallout 4,
5,Super Mario Maker,
4,Bloodborne,
3,Metal Gear Solid V: The Phantom Pain,
2,Rocket League,
1,The Witcher 3: Wild Hunt,
