RANK,GAME,
20,Wipeout: Omega Collection,
19,Mario + Rabbids: Kingdom Battle,
18,Planescape Torment,*Listed as Planescape Torment Enhanced Edition
17,Splatoon 2,
16,Total War: Warhammer 2,
15,Arms,
14,Injustice 2,
13,Nier: Automata,
12,Assassin's Creed: Origins,
11,Resident Evil 7,
10,Xenoblade Chronicles 2,
9,Persona 5,
8,Uncharted: The Lost Legacy,
7,Divinity: Original Sin II,
6,XCOM 2: War of the Chosen,
5,Horizon: Zero Dawn,
4,Mario Kart 8,*Listed as Mario Kart 8 Deluxe
3,What Remains of Edith Finch,
2,The Legend of Zelda: Breath of the Wild,
1,Super Mario Odyssey,
