RANK,GAME
50,Golf Story
49,Gorogoa
48,Stories Untold
47,Persona 5
46,XCOM 2: War of the Chosen
45,Yakuza 0
44,Polybius
43,Pro Evolution Soccer 2018
42,Star Trek: Bridge Crew
41,Pyre
40,Sniper Elite 4
39,Lawbreakers
38,Call of Duty: World War II
37,Everything
36,Nier: Automata
35,Nioh
34,Observer
33,Last Day of June
32,Fortnite
31,Horizon: Zero Dawn
30,FIFA 18
29,Sundered
28,Little Nightmares
27,Sonic Mania
26,Mass Effect: Andromeda
25,For Honor
24,Puyo Puyo Tetris
23,Assassin's Creed: Origins
22,Tacoma
21,Gran Turismo Sport
20,Wolfenstein 2: The New Colossus
19,Rime
18,Uncharted: The Lost Legacy
17,Splatoon 2
16,Life Is Strange: Before the Storm
15,Torment: Tides of Numenera
14,Resident Evil 7
13,Night in the Woods
12,Prey (2017)
11,Divinity: Original Sin II
10,Total War: Warhammer 2
9,Hellblade: Senua's Sacrifice
8,Nex Machina
7,Destiny 2
6,Arms
5,Mario + Rabbids: Kingdom Battle
4,PlayerUnknown's Battlegrounds
3,Super Mario Odyssey
2,What Remains of Edith Finch
1,The Legend of Zelda: Breath of the Wild
