RANK,GAME
50,A Mortician's Tale
49,Madden NFL 18
48,Snipperclips
47,Uncharted: The Lost Legacy
46,Observer
45,The Sexy Brutale
44,Yakuza 0
43,Splatoon 2
42,Nioh
41,Hidden Folks
40,Arms
39,Please Knock on My Door
38,Last Day of June
37,Universal Paperclips
36,Getting Over It
35,Gorogoa
34,Another Lost Phone
33,Mario + Rabbids: Kingdom Battle
32,Rakuen
31,YS 8
30,Metroid: Samus Returns
29,Sonic Mania
28,Dirt 4
27,Little Nightmares
26,Emily Is Away Too
25,Blackwood Crossing
24,Hellblade: Senua's Sacrifice
23,Night in the Woods
22,Pyre
21,The Evil Within 2
20,Fire Emblem: Heroes
19,Gravity Rush 2
18,Lone Echo/Echo Arena
17,XCOM 2: War of the Chosen
16,West of Loathing
15,Assassin's Creed: Origins
14,Cuphead
13,What Remains of Edith Finch
12,Destiny 2
11,Butterfly Soup
10,Wolfenstein 2: The New Colossus
9,Everything
8,Horizon: Zero Dawn
7,Prey (2017)
6,Persona 5
5,Resident Evil 7
4,Nier: Automata
3,Super Mario Odyssey
2,PlayerUnknown's Battlegrounds
1,The Legend of Zelda: Breath of the Wild
