RANK,GAME
20,Final Fantasy XIV
19,Danganronpa V3: Killing Harmony
18,What Remains of Edith Finch
17,Splatoon 2
16,Hellblade: Senua's Sacrifice
15,Assassin's Creed: Origins
14,Mario + Rabbids: Kingdom Battle
13,Xenoblade Chronicles 2
12,Uncharted: The Lost Legacy
11,Sonic Mania
10,Divinity: Original Sin II
9,Night in the Woods
8,Resident Evil 7
7,Wolfenstein 2: The New Colossus
6,PlayerUnknown's Battlegrounds
5,Yakuza 0
4,Super Mario Odyssey
3,Persona 5
2,Nier: Automata
1,The Legend of Zelda: Breath of the Wild
