RANK,GAME,NOTES
25,State of Decay 2,
24,Moss,
23,The Missing,
22,Forza Horizon 4,
21,Into the Breach,
20,Dragon Ball FighterZ,
19,A Way Out,
18,Tetris Effect,
17,Just Cause 4,
16,Dead Cells,
15,Yakuza 6,
14,Hitman 2,
13,Mega Man 11,
12,Far Cry 5,
11,"Pokemon Let's Go Pikachu and Eevee",
10,Octopath Traveller,
9,Battlefield 5,
8,Call of Duty: Black Ops 4,
7,Assassin's Creed Odyssey,
6,Celeste,
5,Marvel's Spider-Man,
4,Monster Hunter: World,
3,Super Smash Bros. Ultimate,
2,God of War (2018),
1,Red Dead Redemption 2,
