RANK,GAME,NOTES
25,Two Point Hospital,
24,Forza Horizon 4,
23,Moonlighter,
22,Into the Breach,
21,Super Smash Bros. Ultimate,
20,Hitman 2,
19,Jurassic World Evolution,
18,Battlefield 5,
17,Tetris Effect,
16,Call of Duty: Black Ops 4,
15,Detroit: Become Human,
14,Subnautica,
13,"Pokemon Let's Go Pikachu and Eevee",
12,Fortnite,
11,Monster Hunter: World,
10,Far Cry 5,
9,Graveyard Keeper,
8,Astro Bot Rescue Mission,
7,Marvel's Spider-Man,
6,Celeste,
5,Dead Cells,
4,Florence,
3,Assassin's Creed Odyssey,
2,Red Dead Redemption 2,
1,God of War (2018),
