RANK,GAME,NOTES
50,Pistol Whip,
49,Hypnospace Outlaw,
48,Islanders,
47,The Division 2,
46,New Super Mario Bros. U,"*Delxue edition, Switch"
45,Bloodstained: Ritual of the Night,
44,Star Wars Jedi: Fallen Order,
43,Kind Words,
42,Steamworld Quest: Hand of Gilgamech,
41,Untitled Goose Game,
40,Dragon Quest Builders 2,
39,The Legend of Zelda: Link's Awakening (2019),
38,Eastshade,
37,Astral Chain,
36,Grindstone,
35,Slay the Spire,
34,Sky: Children of the Light,
33,Pokemon Sword and Shield,
32,Gears 5,
31,Super Mario Maker 2,
30,Lonely Mountains: Downhill,
29,Remnant: From the Ashes,
28,Void Bastards,
27,Telling Lies,
26,Tetris 99,
25,What the Golf?,
24,Disco Elysium,
23,Cadence of Hyrule,
22,Final Fantasy XIV: Shadowbringers,
21,Card of Darkness,
20,The Dark Pictures Anthology: Man of Medan,
19,Wilmot's Warehouse,
18,Devil May Cry 5,
17,Mordhau,
16,Manifold Garden,
15,Total War: Three Kingdoms,
14,Teamfight Tactics,
13,Fire Emblem: Three Houses,
12,Apex Legends,
11,Sayonara Wild Hearts,
10,A Short Hike,
9,Resident Evil 2 Remake,
8,Death Stranding,
7,The Outer Worlds,
6,Luigi's Mansion 3,
5,Sekiro: Shadows Die Twice,
4,Baba Is You,
3,Devotion,
2,Control,
1,Outer Wilds,
