RANK,GAME,
50,Bugsnax,
49,No Man's Sky,
48,Helltaker,
47,Doom Eternal,
46,Super Mega Baseball 3,
45,Mario Kart Live: Home Circuit,
44,Creaks,
43,Call of Duty: Warzone,
42,Yakuza: Like a Dragon,
41,In Other Waters,
40,"Wide Ocean, Big Jacket",
39,League of Legends,
38,Arknights,
37,Desperados 3,
36,Paradise Killer,
35,Dirt 5,
34,Tony Hawk's Pro Skater,*Listed as Tony Hawk's Pro Skater 1 + 2
34,Tony Hawk's Pro Skater 2,*Listed as Tony Hawk's Pro Skater 1 + 2
33,Paper Mario: The Origami King,
32,The Solitaire Conspiracy,
31,Ghost of Tsushima,
30,Ori and the Will of the Wisps,
29,Murder By Numbers,
28,Destiny 2: Beyond Light,
27,Hyrule Warriors: Age of Calamity,
26,Streets of Rage 4,
25,Hardspace: Shipbreaker,
24,Spiritfarer,
23,Demon's Souls,*Listed as Demon's Souls (2020)
22,Star Wars Squadrons,
21,Genshin Impact,
20,The Jackbox Party Pack 7,
19,The Last of Us Part II,
18,Assassin's Creed: Valhalla,
17,Fall Guys,
16,Astro's Playroom,
15,13 Sentinels: Aegis Rim,
14,Umurangi Generation,
13,Valorant,
12,If Found,
11,Spelunky 2,
10,Among Us,
9,Blaseball,
8,Crusader Kings III,
7,Half-Life: Alyx,
6,Spider-Man: Miles Morales,
5,Kentucky Route Zero,
4,Final Fantasy VII Remake,
3,Microsoft Flight Simulator (2020),
2,Animal Crossing: New Horizons,
1,Hades,
