PUBLICATION,GAME
GameSpot,Half-Life: Alyx
IGN,Hades
Golden Joystick Awards,The Last of Us Part II
Game Awards,The Last of Us Part II
Famitsu,Ghost of Tsushima
Famitsu,Animal Crossing: New Horizons
Destructoid,Hades
Eurogamer,Hades
Techradar,Ghost of Tsushima
CGMagazine,Hades
Washington Post,Hades
Japan Game Awards,Animal Crossing: New Horizons
Easy Allies,Half-Life: Alyx
Giant Bomb,Hades
BAFTA,Hades
SXSW Gaming Awards,Hades
D.I.C.E. Awards,Hades,
NAVGTR,Ghost of Tsushima
New York Game Awards,Hades
Czech Game of the Year Awards,Creaks,
Game Developers Choice Awards,Hades
