RANK,GAME,NOTES
Unranked,Deathloop,
Unranked,Forza Horizon 5,
Unranked,Halo Infinite,
Unranked,Resident Evil Village,
Unranked,Mass Effect,*Listed as Mass Effect: Legendary Edition
Unranked,Mass Effect 2,*Listed as Mass Effect: Legendary Edition
Unranked,Mass Effect 3,*Listed as Mass Effect: Legendary Edition
Unranked,Marvel’s Guardians of the Galaxy,
Unranked,The Medium,
Unranked,Metroid Dread,
Unranked,Monster Hunter Rise,
Unranked,Psychonauts 2,
Unranked,Ratchet & Clank: Rift Apart,
Unranked,Splitgate,
