RANK,GAME,NOTES
35,Back 4 Blood,
34,Lego Star Wars: Castaways,
33,Miitopia,
32,Super Mario 3D World,*Listed as Super Mario 3D World + Bowser’s Fury
32,Bowser’s Fury,*Listed as Super Mario 3D World + Bowser’s Fury
31,Monster Hunter Stories 2: Wings of Ruin,
30,New Pokemon Snap,
29,Knockout City,
28,The Legend of Zelda: Skyward Sword,*Listed as Legend of Zelda: Skyword Sword HD
27,Neo: The World Ends With You,
26,Super Monkey Ball: Banana Mania,
25,Marvel’s Guardians of the Galaxy,
24,Hot Wheels Unleashed,
23,Pokemon Brilliant Diamond and Shining Pearl,
22,Resident Evil 4,*Listed as Resident Evil 4 VR
21,Animal Crossing: New Horizons,"*Listed as the Happy Home Paradise content update, but text mentions full game"
20,Shovel Knight Pocket Dungeon,
19,Chivalry 2,
18,Returnal,
17,Mario Party Superstars,
16,Guilty Gear Strive,
15,Loop Hero,
14,Inscryption,
13,It Takes Two,
12,Psychonauts 2,
11,Death’s Door,
10,Deathloop,
9,WarioWare: Get It Together!,
8,Unsighted,
7,Elden Ring,*Listed as Elden Ring Network Beta Test
6,Monster Hunter Rise,
5,Resident Evil Village,
4,Forza Horizon 5,
3,Halo Infinite,
2,Metroid Dread,
1,Ratchet & Clank: Rift Apart,
