RANK,GAME,NOTES
100,Alien 3,
99,Ultima IV: Quest of the Avatar (NES),
98,Super Tennis,
97,Final Fight,
96,Bust A Move,
95,Kickle Cubicle,
94,True Golf Classics: Pebble Beach,
93,Gargoyle's Quest,
92,Ogre Battle,
91,Lufia and the Fortress of Doom,
90,Demon's Crest,
89,Battletoads,
88,Baseball Stars,
87,Goonies II,
86,Blackthorne,
85,Illusion of Gaia,
84,Metal Gear,
83,Dragon Quest IV,
82,Breath of Fire,
81,Faceball 2000,
80,The Magical Quest Starring Mickey Mouse,
79,Rescue Rangers,
78,Teenage Mutant Ninja Turtles: Turtles in Time,
77,NBA Live '95,
76,Gradius III,
75,Super Ghouls'n Ghosts,
74,RC Pro-AM Racing,
73,Shadowgate,
72,Killer Instinct,
71,Super Mario Land 3: Wario Land,
70,Final Fantasy Legend,
69,Double Dragon,
68,Zombies Ate My Neighbors,
67,Wayne Gretzky's 3D Hockey,
66,Final Fantasy Adventure,
65,Earthworm Jim 2,
64,Star Tropics,
63,Blaster Master,
62,Blast Corps,
61,Maniac Mansion,
60,EarthBound,
59,Crystalis,
58,Mega Man X,
57,ActRaiser,
56,Super Castlevania IV,
55,Bionic Commando,
54,Killer Instinct Gold,
53,Mortal Kombat II,
52,Contra,
51,Golf (Gameboy),
50,Tetrisphere,
49,Ninja Gaiden 2,
48,Shadowrun (SNES),
47,Super Mario Bros. 2,
46,Contra III: Alien Wars,
45,Dr. Mario (Gameboy),
44,Adventures of Lolo,
43,Street Fighter II,
42,Secret of Mana,
41,Star Wars: Shadows of the Empire,
40,SimCity,
39,Donkey Kong Country,
38,Pilotwings 64,
37,Final Fantasy,
36,Zelda II: Adventure of Link,
35,Metroid,
34,Metroid II: Return of Samus,
33,Donkey Kong Country 2,
32,Super Mario Kart,
31,Mike-Tyson's Punch Out,Listed as Punch-Out!! Featuring Mr. Dream
30,Tecmo Bowl,
29,Mario Paint,
28,NBA Jam,
27,International Superstar Soccer 64,
26,Super Bomberman 2,
25,Turok: Dinosaur Hunter,
24,F-Zero,
23,Donkey Kong Country 3,
22,Castlevania,
21,Super Mario RPG: Legend of the Seven Stars,
20,Mega Man,
19,Chrono Trigger,
18,Super Mario World 2: Yoshi's Island,
17,Tetris Attack,
16,Super Mario World,
15,Wave Race 64,
14,Super Mario Bros.,
13,Star Fox 64,
12,The Legend of Zelda: Link's Awakening,
11,The Legend of Zelda,
10,Street Fighter II: Turbo,
9,Final Fantasy IV,
8,Final Fantasy VI,
7,GoldenEye 007,
6,Super Metroid,
5,Super Mario Bros. 3,
4,Mario Kart 64,
3,Tetris,
2,The Legend of Zelda: A Link to the Past,
1,Super Mario 64,
