RANK,GAME,NOTES
50,Dragon Quest IX: Sentinels of the Starry Skies,
49,Nier,
48,Monster Hunter Tri,
47,Yakuza 3,
46,Darksiders,
45,Plants vs. Zombies,
44,Game Dev Story,
43,Metal Gear Solid: Peace Walker,
42,Blur,
41,Split/Second,*Listed as Split/Second: Velocity
40,Donkey Kong Country Returns,
39,Dead Rising 2,
38,Amnesia: The Dark Descent,
37,Castlevania: Lords of Shadow,
36,Lara Croft and the Guardian of Light,
35,Alpha Protocol,
34,Fable III,
33,Deadly Premonition,
32,Final Fantasy XIII,
31,Sid Meier's Civilization V,
30,Super Street Fighter IV,
29,Pac-Man Championship Edition: DX,
28,ArmA II: Operation Arrowhead,
27,BioShock 2,
26,Enslaved: Odyssey to the West,
25,Minecraft,
24,World of Warcraft: Cataclysm,
23,F1 2010,
22,FIFA 11,
21,Need for Speed: Hot Pursuit,
20,Rock Band 2,
19,Just Cause 2,
18,Super Meat Boy,
17,Call of Duty: Black Ops,
16,StarCraft II: Wings of Liberty,
15,Vanquish,
14,Alan Wake,
13,Limbo,
12,Gran Turismo 5,
11,Fallout: New Vegas,
10,Demon's Souls,
9,Bayonetta,
8,God of War III,
7,Super Mario Galaxy 2,
6,Assassin's Creed: Brotherhood,
5,Halo Reach,
4,Battlefield: Bad Company 2,
3,Heavy Rain,
2,Red Dead Redemption,
1,Mass Effect 2,
