RANK,GAME,NOTES
50,Thumper,
49,Ori and the Blind Forest,*Definitive Edition
48,F1 2016,
47,Mirror's Edge Catalyst,
46,Overcooked,
45,The Legend of Zelda: Twilight Princess HD,
44,Rocket League,*Xbox One
43,Batman: Arkham VR,
42,Abzu,
41,Pro Evolution Soccer 2017,
40,Hyper Light Drifter,
39,Quantum Break,
38,Stellaris,
37,Street Fighter V,
36,Darkest Dungeon,
35,Fire Emblem Fates,
34,Watch Dogs 2,
33,Total War: Warhammer,
32,Stephen's Sausage Roll,
31,Pokemon Go,
30,Rez Infinite,
29,Stardew Valley,
28,The Elder Scrolls V: Skyrim - Special Edition,
27,Planet Coaster,
26,The Division,
25,World of Warcraft: Legion,
24,Ratchet & Clank (2016),
23,Dirt Rally,
22,Gears of War 4,
21,No Man's Sky,
20,Sid Meier's Civilization VI,
19,Pokemon Sun and Moon,
18,Rise of the Tomb Raider,
17,The Witness,
16,Hitman (2016),
15,Deus Ex: Mankind Divided,
14,Firewatch,
13,XCOM 2,
12,The Last Guardian,
11,Inside,
10,Final Fantasy XV,
9,Dishnored 2,
8,Forza Horizon 3,
7,Battlefield 1,
6,The Witcher 3: Blood and Wine,
5,Titanfall 2,
4,Dark Souls III,
3,Doom (2016),
2,Overwatch,
1,Uncharted 4: A Thief's End,
