RANK,GAME,NOTES
50,The Sims,
49,Wipeout,
48,Civilization II,
47,Deus Ex,
46,Super Smash Bros. Melee,
45,Metal Gear Solid,
44,Pokemon Red and Blue,
43,Silent Hill 2,
42,Sonic the Hedgehog,
41,Age of Empires II: The Age of Kings,
40,The Legend of Zelda: Ocarina of Time,
39,Super Mario Galaxy 2,
38,Metroid Prime,
37,The Legend of Zelda: A Link to the Past,
36,Gran Turismo 3: A-Spec,
35,The Elder Scrolls V: Skyrim,
34,Sensible World of Soccer,
33,GoldenEyen 007,
32,Ico,
31,Grand Theft Auto: Vice City,
30,Fallout 3,
29,Bloodborne,
28,Resident Evil 4,
27,The Secret of Monkey Island,
26,Burnout 3: Takedown,
25,Call of Duty: Modern Warfare 2,
24,NBA Jam,
23,Life is Strange,
22,Super Mario Kart,
21,Tomb Raider,
20,Uncharted 2: Among Thieves,
19,The Elder Scrolls V: Skyrim,
18,Halo 2,
17,Super Mario Bros. 3,
16,Inside,
15,Half-Life 2,
14,Metal Gear Solid 3: Snake Eater,
13,Chrono Trigger,
12,BioShock,
11,The Legend of Zelda: Twilight Princess,
10,Grand Theft Auto: Vice City,
9,Castlevania: Symphony of the Night,
8,Resident Evil 4,
7,The Witcher 3: Wild Hunt,
6,The Legend of Zelda: A Link to the Past,
5,Dark Souls,
4,Red Dead Redemption,
3,Final Fantasy VII,
2,Uncharted 4: A Thief's Edition,
1,Super Mario Galaxy,
