RANK,GAME
100,ESPN NFL 2K5
99,Madden NFL 2005
98,Advance Wars 2: Black Hole Rising
97,Paper Mario
96,Pikmin 2
95,Advance Wars
94,The Elder Scrolls IV: Oblivion
93,Half-Life
92,WWF No Mercy
91,Madden NFL 2004
90,Unreal Tournament
89,Chrono Cross
88,Castlevania: Dawn of Sorrow
87,Forza Motorsport
86,Grand Theft Auto IV
85,Kingdom Hearts
84,Metroid: Zero Mission
83,Eternal Darkness: Sanity's Requiem
82,"Warioware, Inc.: Mega Microgames!"
81,Mass Effect
80,Burnout 3: Takedown
79,Golden Sun
78,Project Gotham Racing 2
77,The Legend of Zelda: The Minish Cap
76,Paper Mario: The Thousand Year Door
75,Tales of Symphonia
74,Jak 3
73,WWE Smackdown vs. Raw 2006
72,Disgaea: Hour of Darkness
71,StarCraft
70,Shadow of the Colossus
69,Golden Sun: The Lost Age
68,The Legend of Zelda
67,Metroid Fusion
66,The Legend of Zelda: Oracle of Ages
65,Grand Theft Auto III
64,Shenmue
63,God of War II
62,ESPN NFL 2K4
61,Splinter Cell: Pandora Tomorrow
60,Portal
59,Warioware: Twisted!
58,Jade Empire
57,Call of Duty
56,Metal Gear Solid 2: Sons of Liberty
55,Metroid Prime 3: Corruption
54,Unreal Tournament 2004
53,Castlevania: Aria of Sorrow
52,NCAA Football 2004
51,Gran Turismo 4
50,Halo 2
49,Pro Evolution Soccer 5
48,Final Fantasy X
47,Skies of Arcadia
46,Devil May Cry 3: Dante's Awakening
45,The Legend of Zelda: Majora's Mask
44,Fire Emblem
43,Mario Kart DS
42,Ratchet & Clank: Going Commando
41,Call of Duty 4: Modern Warfare
40,Metroid Prime 2: Echoes
39,Ninja Gaiden (2004)
38,Grand Theft Auto: Vice City
37,The Legend of Zelda: Twilight Princess
36,Suikoden II
35,Super Mario World
34,Star Wars: Knights of the Old Republic
33,Half-Life 2
32,Perfect Dark
31,Guitar Hero
30,Final Fantasy VII
29,The Legend of Zelda: The Wind Waker
28,Xenogears
27,EarthBound
26,God of War
25,Metroid Prime
24,Ratchet & Clank: Up Your Arsenal
23,Super Mario RPG: Legend of the Seven Stars
22,Metal Gear Solid 4: Guns of the Patriots
21,Super Mario Galaxy
20,Super Mario Bros. 3
19,Conker's Bad Fur Day
18,Grand Theft Auto: San Andreas
17,Super Smash Bros. Melee
16,Super Smash Bros. Brawl
15,Halo: Combat Evolved
14,Final Fantasy VI
13,Castlevania: Symphony of the Night
12,Splinter Cell: Chaos Theory
11,Super Mario 64
10,Shenmue II
9,Resident Evil 4
8,Metal Gear Solid
7,GoldenEye 007
6,Super Metroid
5,Metal Gear Solid 3: Snake Eater
4,The Legend of Zelda: A Link to the Past
3,SoulCalibur
2,Chrono Trigger
1,The Legend of Zelda: Ocarina of Time
