RANK,GAME
100,Ape Escape
99,House of the Dead 2
98,StarCraft
97,Mortal Kombat II
96,Tetris Attack
95,NBA 2K1
94,Phantasy Star
93,Ninja Gaiden
92,Cool Boarders 2
91,Mario's Picross
90,Super Bomberman
89,Baldur's Gate II: Shadows of Amn
88,Road Rash
87,Hot Shots Golf
86,Tomb Raider
85,NFL 2K1
84,RC Pro Am
83,Kid Icarus
82,Suikoden
81,Age of Empires
80,The Sims
79,Pro Wrestling
78,Panzer Dragoon Saga
77,Secret of Mana
76,Dr. Mario
75,Double Dragon
74,SoulCalibur
73,Twisted Metal 2
72,Robotron: 2084
71,Banjo-Kazooie
70,Zork
69,Resident Evil: Code Veronica
68,The Legend of Zelda: Majora's Mask
67,Ghouls'n Ghosts
66,Bionic Commando
65,Donkey Kong Country 2
64,Gauntlet
63,Baseball Stars
62,Sid Meier's Civilization
61,Sonic the Hedgehog 2
60,Donkey Kong
59,Tekken 2
58,The Legend of Zelda: Link's Awakening
57,Arkanoid
56,Tempest 2000
55,Chrono Cross
54,Tenchu: Stealth Assassins
53,Metal Gear
52,Lode Runner
51,Ridge Racer
50,Virtua Tennis
49,Counter-Strike
48,Castlevania
47,Adventure
46,Super Mario World
45,Final Fantasy Tactics
44,Excitebike
43,Final Fantasy IX
42,Star Wars: X-Wing
41,Pitfall!
40,Final Fantasy IV
39,Pokemon Red and Blue
38,Tecmo Bowl
37,Dragon Quest
36,Tony Hawk's Pro Skater
35,Super Mario Kart
34,Resident Evil 2
33,EverQuest
32,Mega Man 2
31,SimCity
30,Super Mario Bros. 2
29,Super Metroid
28,Command & Conquer
27,Madden NFL 2001
26,Crash Bandicoot: Warped
25,Warlords
24,Sonic the Hedgehog
23,The Legend of Zelda: A Link to the Past
22,Street Fighter II
21,Gran Turismo
20,NHLPA Hockey '93
19,Galaga
18,Castlevania: Symphony of the Night
17,Metal Gear Solid
16,GoldenEye 007
15,Chrono Trigger
14,Mike Tyson's Punch Out!!
13,Contra
12,Super Mario 64
11,The Legend of Zelda: Ocarina of Time
10,Final Fantasy VII
9,Ms. Pac-Man
8,Super Mario Bros. 3
7,Final Fantasy VI
6,Metroid
5,Doom
4,Tony Hawk's Pro Skater 2
3,Tetris
2,Super Mario Bros.
1,The Legend of Zelda
