RANK,GAME
100,Jet Set Radio
99,Mercenary
98,Final Fantasy III
97,Dungeon Master
96,Treasure of Usas
95,Skies of Arcadia
94,Red Baron 3D
93,PGA Tour Golf
92,Sid Meier's Pirates!
91,Tomb Raider
90,Rome: Total War
89,Virtua Fighter 2
88,Rainbow Islands
87,California Games
86,Ant Attack
85,Micro Machines
84,Oddworld: Abe's Oddysee
83,Skate
82,Ico
81,TimeSplitters 2
80,Alone in the Dark
79,Virtua Cop
78,Spy vs. Spy
77,Stunt Car Racer
76,Pong
75,Flashback
74,Kick Off 2
73,Head Over Heels
72,Metal Slug
71,Mass Effect
70,Phantasy Star II
69,Castlevania
68,Crazy Taxi
67,Metal Gear Solid 2: Sons of Liberty
66,Pac-Man
65,SimCity
64,Underwurlde
63,Road Rash II
62,NBA Jam
61,The Sims
60,MechWarrior 2
59,Football Manager 2
58,Star Fox
57,Super Metroid
56,Out Run
55,Super Mario Bros. 3
54,Resident Evil 4
53,Diablo
52,Xenon 2 Megablast
51,Defender of the Crown
50,Command & Conquer
49,Chase HQ
48,Jet Set Willy
47,World of Warcraft
46,Shenmue
45,Deus Ex
44,Star Wars: X-Wing
43,Patapon
42,MotorStorm
41,Bubble Bobble
40,R-Type
39,Monkey Island 2: LeChuck's Revenge
38,BioShock
37,Worms
36,Sid Meier's Civilization
35,Virtua Tennis
34,Wipeout
33,God of War
32,Streets of Rage 2
31,Call of Duty 4: Modern Warfare
30,Sega Rally Championship
29,Okami
28,Wii Sports
27,Street Fighter II
26,Tetris
25,SingStar
24,Lemmings
23,Super Mario Galaxy
22,Pro Evolution Soccer 4
21,Animal Crossing: Wild World
20,Mega Bomberman
19,Speedball 2: Brutal Deluxe
18,Super Mario 64
17,The Legend of Zelda: A Link to the Past
16,Quake III Arena
15,Gran Turismo 3: A-Spec
14,Halo: Combat Evolved
13,Guitar Hero
12,Sensible World of Soccer
11,Super Mario Kart
10,Turrican 2
9,Grand Theft Auto III
8,Doom
7,Sonic the Hedgehog
6,Elite
5,Super Mario World
4,GoldenEye 007
3,Final Fantasy VII
2,The Legend of Zelda: Ocarina of Time
1,Half-Life 2
