RANK,GAME,NOTES
100,Pitfall!,
99,Gauntlet,
98,Shadow of the Colossus,
97,Speedball 2: Brutal Deluxe,
96,Unreal Tournament 2004,
95,Brian Lara International Cricket 2005,
94,Zool,
93,Turbo Outrun,
92,Arkanoid,
91,Prince of Persia: Sands of Time,
90,Golden Axe,
89,Viewtiful Joe,
88,Fantasy World Dizzy,
87,Alex Kidd in Miracle World,
86,Wipeout,
85,California Games,
84,Advance Wars,
83,Star Fox 64,
82,Star Wars: Knights of the Old Republic,
81,James Pond 2: Codename Robocod,
80,Jimmy White's Whirlwind Snooker,
79,Henry Hatsworth in the Puzzling Adventure,
78,Burnout Revenge,
77,Pac-Man,
76,Super Metroid,
75,Tiger Woods PGA Tour Golf 2009,
74,Gran Turismo 4,
73,Sonic the Hedgehog,
72,Eve Online,
71,Mario Kart Wii,
70,Thief: The Dark Project,
69,R-Type,
68,Okami,
67,God of War II,
66,Command & Conquer: Red Alert,
65,Sega Rally Championship,
64,Tony Hawk's Project 8,
63,Final Fantasy VII,
62,Earthworm Jim,
61,Counter-Strike,
60,Donkey Kong,
59,Tom Clancy's Ghost Recon Advanced Warfighter 2,
58,Grand Prix 2,
57,Team Fortress 2,
56,Resident Evil 4,
55,Halo: Combat Evolved,
54,Donkey Kong Country,
53,Road Rash II,
52,Little Big Planet,
51,Championship Manager 2,
50,Elite,
49,The Legend of Zelda: A Link to the Past,
48,Mega Bomberman,
47,Diddy Kong Racing,
46,Super Mario Sunshine,
45,The Legend of Zelda: Twilight Princess,
44,Lemmings,
43,Duke Nukem 3D,
42,NBA Jam,*Listed as NBA Jam: Tournament Edition
41,Theme Park,
40,Boom Blox,
39,Jet Set Radio,
38,Mortal Kombat,
37,Grand Theft Auto IV,
36,Worms,
35,Metal Gear Solid 3: Snake Eater,
34,Quake,
33,Perfect Dark,
32,The Sims,
31,Shenmue,
30,SimCity,
29,Pro Evolution Soccer 3,
28,Pokemon Red and Blue,
27,Project Gotham Racing 3,
26,Streets of Rage,
25,Sam & Max Hit the Road,
24,Sensible World of Soccer,
23,Race Driver: GRID,
22,World of Warcraft,
21,Tetris,
20,The Elder Scrolls IV: Oblivion,
19,BioShock,
18,Super Mario Bros. 3,
17,Gears of War,
16,Wii Sports,
15,The Secret of Monkey Island,
14,Guitar Hero,
13,Portal,
12,Super Mario World,
11,Half-Life 2,
10,The Legend of Zelda: Link's Awakening,
9,Tom Clancy's Splinter Cell,
8,Star Wars: TIE Fighter,
7,Super Mario Galaxy,
6,GoldenEye 007,
5,Super Mario Kart,
4,Fallout 3,
3,Super Mario 64,
2,Call of Duty 4: Modern Warfare,
1,The Legend of Zelda: Ocarina of Time,
