RANK,GAME,NOTES
200,Beyond Good & Evil,
199,Tactics Ogre: Let Us Cling Together,
198,Splinter Cell: Pandora Tomorrow,
197,NHL 09,
196,Call of Duty,
195,Ultima I,
194,Marvel vs. Capcom 2: New Age of Heroes,
193,Jak 3,
192,Eternal Darkness: Sanity's Requiem,
191,Metal Gear Solid 3: Snake Eater,
190,The Chronicles of Riddick: Escape From Butcher Bay,
189,Kid Icarus,
188,Planescape Torment,
187,Infamous,
186,Marble Madness,
185,Super Mario World 2: Yoshi's Island,
184,Vagrant Story,
183,ESPN NFL 2K5,
182,Samurai Shodown,
181,Call of Duty: Modern Warfare 2,
180,Max Payne,
179,NBA Jam,*Listed as NBA Jam: Tournament Edition
178,Phoenix Wright: Ace Attorney,
177,Tekken 3,
176,Castlevania,
175,Dig Dug,
174,Gunstar Heroes,
173,Lode Runner,
172,Ikaruga,
171,Bully,
170,Ridge Racer,
169,Braid,
168,Tempest 2000,
167,Doom 2,
166,"King's Quest VI: Heir Today, Gone Tomorrow",
165,Peggle,
164,X-COM: UFO Defense,
163,Robotron: 2084,
162,Far Cry,
161,Geometry Wars Retro Evolved,
160,Thief: Deadly Shadows,
159,Battlefield 1942,
158,Pong,
157,Devil May Cry,
156,Gauntlet,
155,Crackdown,
154,Little Big Planet,
153,Asteroids,
152,Xenosaga Episode I: Der Wile zur Macht,
151,Fable,
150,ActRaiser,
149,Warcraft III: Reign of Chaos,
148,Super Mario RPG: Legend of the Seven Stars,
147,Super Castlevania IV,
146,Power Stone 2,
145,Unreal Tournament 2004,
144,Burnout 3: Takedown,
143,Assassin's Creed,
142,Day of the Tentacle,
141,Sid Meier's Civilization IV,
140,Diablo,
139,Wolfenstein 3D,
138,Call of Duty 2,
137,Madden NFL '99,
136,Star Fox,
135,Final Fight,
134,Borderlands,
133,Star Wars Jedi Knight: Dark Forces II,
132,Quake II,
131,Pilotwings,
130,Kingdom Hearts II,
129,Homeworld,
128,Metroid Fusion,
127,Oddworld: Abe's Oddysee,
126,Twisted Metal 2,
125,Shadowrun (SNES),
124,Warlords,
123,NHL '94,
122,Panzer Dragoon Saga,
121,Lemmings,
120,Mega Man X,
119,Splinter Cell: Chaos Theory,
118,Team Fortress 2,
117,Fallout,
116,Advance Wars,
115,Command & Conquer: Red Alert,
114,Alpha Centauri,
113,EarthBound,
112,Final Fantasy XII,
111,Tetris Attack,
110,Halo 2,
109,Crash Bandicoot: Warped,
108,Metal Gear Solid 4: Guns of the Patriots,
107,Gears of War,
106,Resident Evil,
105,System Shock 2,
104,Batman: Arkham Asylum,
103,Donkey Kong,
102,Heroes of Might and Magic III,
101,The Elder Scrolls III: Morrowind,
100,Portal,
99,Prince of Persia: Sands of Time,
98,Grand Theft Auto: Vice City,
97,Sonic the Hedgehog 2,
96,Counter-Strike,
95,Silent Hill 2,
94,The Legend of Zelda: The Wind Waker,
93,Skies of Arcadia,
92,Medal of Honor: Allied Assault,
91,Ratchet & Clank: Up Your Arsenal,
90,The Legend of Zelda: Twilight Princess,
89,God of War II,
88,Baldur's Gate II: Shadows of Amn,
87,Warcraft II,
86,Super Smash Bros. Melee,
85,Metroid Prime,
84,Shadow of the Colossus,
83,Okami,
82,Left 4 Dead,
81,Super Mario Bros. 2,
80,Final Fantasy IV,
79,Kingdom Hearts,
78,Command & Conquer,
77,Ninja Gaiden,
76,Mario's Picross,
75,Super Bomberman,
74,Tomb Raider,
73,Rock Band 2,
72,Mortal Kombat II,
71,Age of Empires,
70,The Sims,
69,Dr. Mario,
68,Double Dragon,
67,SoulCalibur,
66,Zork,
65,Fallout 3,
64,Grand Theft Auto: San Andreas,
63,The Legend of Zelda: Majora's Mask,
62,Star Wars: X-Wing,
61,The Legend of Zelda: Link's Awakening,
60,Arkanoid,
59,Adventure,
58,Mass Effect,
57,Tony Hawk's Pro Skater 2,
56,Uncharted 2: Among Thieves,
55,Ico,
54,Star Wars: Knights of the Old Republic,
53,Battlefield 2,
52,Pac-Man,
51,Super Mario Galaxy,
50,Metal Gear Solid 2: Sons of Liberty,
49,Guitar Hero,
48,Deus Ex,
47,Super Mario World,
46,Grand Theft Auto IV,
45,Final Fantasy Tactics,
44,EverQuest,
43,Final Fantasy X,
42,Pokemon Red and Blue,
41,Resident Evil 2,
40,Gran Turismo,
39,Halo: Combat Evolved,
38,Mega Man 2,
37,SimCity,
36,Sid Meier's Civilization,
35,StarCraft,
34,Sonic the Hedgehog,
33,Super Mario Kart,
32,GoldenEye 007,
31,Tecmo Super Bowl,
30,The Elder Scrolls IV: Oblivion,
29,Half-Life,
28,Diablo II,
27,BioShock,
26,God of War,
25,Street Fighter II,
24,Castlevania: Symphony of the Night,
23,Galaga,
22,Contra,
21,Super Metroid,
20,The Legend of Zelda: Ocarina of Time,
19,Metal Gear Solid,
18,Resident Evil 4,
17,Chrono Trigger,
16,Mike Tyson's Punch Out!!,
15,Final Fantasy VII,
14,Call of Duty 4: Modern Warfare,
13,Super Mario 64,
12,The Legend of Zelda: A Link to the Past,
11,World of Warcraft,
10,Ms. Pac-Man,
9,Super Mario Bros. 3,
8,Final Fantasy VI,
7,Metroid,
6,Doom,
5,Half-Life 2,
4,Grand Theft Auto III,
3,Tetris,
2,Super Mario Bros.,
1,The Legend of Zelda,
