RANK,GAME,NOTES,
50,OutRun 2,
49,Crash Bandicoot,
48,Saturn Bomberman,
47,"Warioware, Inc.: Mega Microgames!",
46,The Elder Scrolls IV: Oblivion,
45,Star Fox 64,
44,Sega Rally Championship,
43,God of War,
42,The Legend of Zelda: Link's Awakening,
41,Star Wars: Knights of the Old Republic,
40,BioShock,
39,Grand Theft Auto: Vice City,
38,Castlevania: Symphony of the Night,
37,Super Metroid,
36,Ridge Racer,
35,Advance Wars,
34,SoulCalibur,
33,Gunstar Heroes,
32,Chrono Trigger,
31,Ico,
30,Resident Evil,
29,Super Mario Galaxy,
28,Project Gotham Racing 4,
27,Guitar Hero,
26,Pokemon Red and Blue,
25,Wii Sports,
24,Tekken 2,
23,Lego Star Wars: The Complete Saga,,
22,Half-Life 2,*22 was labeled as The Orange Box
22,Half-Life 2: Episode One,*22 was labeled as The Orange Box
22,Half-Life 2: Episode Two,*22 was labeled as The Orange Box
22,Portal,
22,Team Fortress 2,
21,Pro Evolution Soccer 4,
20,Final Fantasy VII,
19,Gran Turismo,
18,The Legend of Zelda: A Link to the Past,
17,Super Mario Bros.,
16,Grand Theft Auto: San Andreas,
15,Sonic the Hedgehog 2,
14,Call of Duty 4: Modern Warfare,
13,Metal Gear Solid,
12,Tomb Raider,
11,Super Mario 64,
10,GoldenEye 007,
9,Street Fighter II,
8,Final Fantasy XII,
7,Resident Evil 4,
6,Halo: Combat Evolved,
5,The Legend of Zelda: Ocarina of Time,,
4,Super Mario World,
3,Grand Theft Auto,*Seems like the original but unsure
2,Tetris
1,Super Mario Kart
