RANK,GAME,NOTES
50,Super Smash Bros. Melee,
49,Teenage Mutant Ninja Turtles: Turtles in Time,
48,Red Dead Redemption,
47,StarCraft,
46,Left 4 Dead,
45,Bubble Bobble,
44,Kirby's Adventure,
43,GoldenEye 007,
42,Final Fantasy VI,
41,Pac-Man,
40,Ninja Gaiden,
39,Sid Meier's Civilization IV,
38,Star Wars: Knights of the Old Republic,
37,Secret of Mana,
36,Ico,
35,Fallout,
34,Donkey Kong Country,
33,God of War,
32,Mortal Kombat II,
31,EarthBound,
30,Rock Band 2,
29,Call of Duty 4: Modern Warfare,
28,Counter-Strike,
27,Grand Theft Auto III,
26,Mega Man 2,
25,Metal Gear Solid,
24,Doom,
23,Okami,
22,Resident Evil 4,
21,Contra,
20,Diablo II,
19,Super Mario 64,
18,BioShock,
17,Sonic the Hedgehog 2,
16,Super Mario World 2: Yoshi's Island,
15,Metroid Prime,
14,Final Fantasy VII,
13,The Secret of Monkey Island,
12,Shadow of the Colossus,
11,The Legend of Zelda: Ocarina of Time,
10,Street Fighter II,
9,Tetris,
8,Chrono Trigger,
7,Castlevania: Symphony of the Night,
6,Super Metroid,
5,Super Mario World,
4,Portal,
3,The Legend of Zelda: A Link to the Past,
2,Super Mario Bros. 3,
1,Half-Life 2,
