RANK,GAME,
100,Minecraft,
99,Duck Tales,
98,Lumines,
97,Blazing Lazers,
96,Killer7,
95,Bubble Bobble,
94,WWF No Mercy,
93,Shenmue,
92,Cobra Triangle,
91,Quake III Arena,
90,EarthBound,
89,Planetside,
88,Hot Shots Golf: Open Tee 2,
87,Tetris Attack,
86,Magicland Dizzy,
85,Donkey Kong (Game Boy),
84,Rez,*Listed as Rez Infinite
83,"King's Quest VI: Heir Today, Gone Tomorrow",
82,Contra III: Alien Wars,
81,F-Zero GX,
80,Tomb Raider,
79,Kingdom Hearts,
78,Super Punch Out,
77,Dragon Quest VIII: Journey of the Cursed King,
76,Donkey Kong Country,
75,Star Wars: Knights of the Old Republic,
74,Super Mario World 2: Yoshi's Island,
73,Gran Turismo 3: A-Spec,
72,Super Smash Bros. Melee,
71,Team Fortress 2,
70,Beyond Good & Evil,
69,Secret of Mana,
68,Psychonauts,
67,Sonic CD,
66,Braid,
65,Sega Rally Championship,
64,Day of the Tentacle,
63,Bejeweled 3,
62,SoulCalibur,
61,Prince of Persia: Sands of Time,
60,Final Fantasy X,
59,Advance Wars,
58,Fallout 2,
57,Burnout 3: Takedown,
56,Counter-Strike,
55,Doom 2,
54,Katamari Damacy,
53,Final Fantasy Tactics,
52,SimCity 3000,
51,Tony Hawk's Pro Skater 3,
50,Grim Fandango,
49,Metal Gear Solid 3: Snake Eater,
48,Geometry Wars Retro Evolved 2,
47,Assassin's Creed II,
46,Super Mario Kart,
45,Warcraft III: Reign of Chaos,
44,God of War,
43,Rock Band 2,
42,Gears of War 2,
41,Halo 3,
40,Okami,
39,The Sims 3,
38,Diablo II,
37,Mega Man 2,
36,Silent Hill 2,
35,Castlevania: Symphony of the Night,
34,Left 4 Dead 2,
33,Half-Life,
32,Ms. Pac-Man,
31,Ico,
30,Grand Theft Auto: San Andreas,
29,The Legend of Zelda: Twilight Princess,
28,The Elder Scrolls IV: Oblivion,
27,Super Mario 64,
26,Pokemon Black and White,
25,Deus Ex,
24,Sid Meier's Civilization IV,
23,World of Warcraft,
22,Batman: Arkham Asylum,
21,Metal Gear Solid,
20,Call of Duty 4: Modern Warfare,
19,StarCraft II: Wings of Liberty,
18,Resident Evil 4,
17,The Legend of Zelda: A Link to the Past,
16,Super Mario Galaxy,
15,Red Dead Redemption,
14,Final Fantasy VI,
13,Street Fighter IV,
12,BioShock,
11,Uncharted 2: Among Thieves,
10,Mass Effect 2,
9,Super Metroid,
8,Half-Life 2,
7,Shadow of the Colossus,
6,Super Mario Bros. 3,
5,The Legend of Zelda: The Wind Waker,
4,Grand Theft Auto IV,
3,Chrono Trigger,
2,Tetris,
1,Portal,
