RANK,GAME,NOTES
100,Minecraft,
99,Duck Tales,
98,Lumines: Electronic Symphony,
97,Ikaruga,
96,Limbo,
95,WWF No Mercy,
94,Castle Crashers,
93,Suikoden II,
92,Quake III Arena,
91,Hot Shots Golf: Open Tee 2,
90,Tetris Attack,
89,Donkey Kong (Game Boy),
88,Ultimate Marvel vs. Capcom 3,
87,Rez,*Listed as Rez Infinite
86,The Secret of Monkey Island,
85,Contra III: Alien Wars,
84,F-Zero GX,
83,Tomb Raider,
82,Super Meat Boy,
81,Kingdom Hearts II,
80,Super Punch Out,
79,Dragon Quest VIII: Journey of the Cursed King,
78,Donkey Kong Country,
77,Star Wars: Knights of the Old Republic,
76,Super Mario World 2: Yoshi's Island,
75,Gran Turismo 3: A-Spec,
74,League of Legends,
73,Super Smash Bros. Melee,
72,Team Fortress 2,
71,Beyond Good & Evil,
70,Secret of Mana,
69,Psychonauts,
68,Sonic CD,
67,Journey,
66,Sega Rally Championship,
65,Day of the Tentacle,
64,Braid,
63,SoulCalibur II,
62,Prince of Persia: Sands of Time,
61,Advance Wars,
60,Fallout 2,
59,Burnout Paradise,
58,Counter-Strike: Source,
57,Doom 2,
56,Katamari Damacy,
55,Final Fantasy Tactics,
54,SimCity 2000,
53,Tony Hawk's Pro Skater 3,
52,Grim Fandango,
51,Metal Gear Solid,
50,Geometry Wars Retro Evolved 2,
49,Assassin's Creed II,
48,EarthBound,
47,Mario Kart 7,
46,Warcraft III: Reign of Chaos,
45,God of War,
44,Gears of War 2,
43,Rock Band 3,
42,Halo 3,
41,Okami,
40,The Sims 3,
39,Diablo II,
38,Mega Man 2,
37,Silent Hill 2,
36,Castlevania: Symphony of the Night,
35,Left 4 Dead 2,
34,Ms. Pac-Man,
33,Ico,
32,Grand Theft Auto: San Andreas,
31,The Legend of Zelda: Twilight Princess,
30,The Elder Scrolls V: Skyrim,
29,Super Mario 64,
28,Pokemon Black and White,
27,Deus Ex,
26,Sid Meier's Civilization V,
25,World of Warcraft,
24,Final Fantasy X,
23,Batman: Arkham City,
22,Portal 2,
21,Metal Gear Solid 3: Snake Eater,
20,Call of Duty 4: Modern Warfare,
19,StarCraft II: Wings of Liberty,
18,Resident Evil 4,
17,The Legend of Zelda: A Link to the Past,
16,Super Mario Galaxy 2,
15,Red Dead Redemption,
14,Final Fantasy VI,
13,Street Fighter IV,
12,Half-Life 2,
11,Uncharted 2: Among Thieves,
10,Mass Effect 2,
9,Super Metroid,
8,BioShock,
7,Shadow of the Colossus,
6,Grand Theft Auto IV,
5,The Legend of Zelda: The Wind Waker,
4,Super Mario Bros. 3,
3,Chrono Trigger,
2,Tetris,
1,Portal,
