RANK,GAME,NOTES
100,M.U.L.E.,
99,Out of This World,
98,Phantasy Star Online,
97,Pitfall!,
96,Asteroids,
95,Jet Set Radio,
94,Rez,
93,Cave Story,
92,Secret of Mana,
91,Counter-Strike,
90,X-COM: UFO Defense,
89,Myst,
88,Tomb Raider,
87,Shining Force,
86,Dance Dance Revolution,
85,Minecraft,
84,Monster Hunter,
83,Contra,
82,Fallout,
81,Maniac Mansion,
80,Double Dragon,
79,ET: The Extra-Terrestrial,*Moreso because of how bad it is and now accalimed so not including it in final results
78,Mystery House,
77,Tecmo Bowl,
76,Portal,
75,EarthBound,
74,King's Quest I,
73,BioShock,
72,Mega Man 2,
71,Silent Hill 2,
70,Deus Ex,
69,Virtua Fighter,
68,PaRappa the Rapper,
67,Ms. Pac-Man,
66,Command & Conquer: Red Alert,
65,Mass Effect,
64,Resident Evil 2,
63,Dune II: The Building of a Dynasty,
62,The Secret of Monkey Island,
61,System Shock,
60,Bejeweled,
59,WarCraft,
58,FarmVille,
57,EverQuest,
56,Gears of War,
55,Shenmue,
54,Metroid,
53,Chrono Trigger,
52,Final Fantasy I,
51,Devil May Cry,
50,Sid Meier's Civilization,
49,Super Mario Kart,
48,Colossal Cave Adventure,
47,Guitar Hero,
46,Spacewar!,
45,Zork,
44,SimCity,
43,Ultima Online,
42,Gran Turismo,
41,Wizardry: Proving Grounds of the Mad Overlord,
40,Angry Birds,
39,Rogue,
38,Resident Evil 4,
37,John Madden Football,
36,Donkey Kong,
35,Sonic the Hedgehog,
34,Baldur's Gate,
33,The Sims,
32,StarCraft,
31,Ultima IV: Quest of the Avatar,
30,The Legend of Zelda: A Link to the Past,
29,Final Fantasy IV,
28,Resident Evil,
27,Super Metroid,
26,Diablo,
25,GoldenEye 007,
24,Quake,
23,Wolfenstein 3D,
22,Mortal Kombat,
21,The Legend of Zelda: Ocarina of Time,
20,Call of Duty 4: Modern Warfare,
19,Half-Life,
18,Space Invaders,
17,Pokemon Red and Blue,
16,Metal Gear Solid,
15,World of Warcraft,
14,The Legend of Zelda,
13,Pac-Man,
12,Dragon Quest,
11,Pong,
10,Wii Sports,
9,Doom,
8,Final Fantasy VII,
7,Halo: Combat Evolved,
6,Grand Theft Auto III,
5,Super Mario 64,
4,Tetris,
3,Street Fighter II,
2,Dungeons & Dragons (Tabletop),"*Not a video game, but its influence in games"
1,Super Mario Bros.,
